bias_2019-06-24_11-47-49_,current__1.0V/s_2019-06-24_11-47-49_,current__0.5V/s_2019-06-24_11-47-49_,current__0.1V/s_2019-06-24_11-47-49_
0.0,-1.738156e-09,-5.677174e-10,-2.819956e-09
0.05,-5.908847e-10,-5.954169e-10,-1.407271e-09
0.1,-5.954189e-10,-5.500899e-10,-1.210352e-09
0.15000000000000002,-5.918915e-10,-5.526081e-10,-1.024511e-09
0.2,-5.928998e-10,-6.221094e-10,-1.010912e-09
0.25,-5.974313e-10,-6.256344e-10,-1.997024e-09
0.30000000000000004,-5.989431e-10,-6.049879e-10,2.723833e-09
0.35000000000000003,-5.908853e-10,-5.81819e-10,6.263566e-08
0.4,-5.85848e-10,-5.692291e-10,1.14231e-07
0.45,-5.798054e-10,-5.828262e-10,1.51927e-07
0.5,-5.82827e-10,-5.6923e-10,-5.500924e-10
0.55,-5.712432e-10,-5.646946e-10,1.315158e-07
0.6000000000000001,-5.682204e-10,-6.180798e-10,1.843463e-07
0.65,-6.004532e-10,-6.00453e-10,4.858788e-10
0.7000000000000001,-5.868571e-10,-5.934024e-10,-3.320185e-10
0.75,-5.576456e-10,-5.777903e-10,-3.90441e-10
0.8,-5.757772e-10,-5.838323e-10,-8.603266e-10
0.8500000000000001,-5.818199e-10,-5.737607e-10,-5.289379e-10
0.9,-5.96424e-10,-5.787968e-10,-4.413062e-10
0.9500000000000001,-5.717474e-10,-6.014613e-10,-5.918921e-10
1.0,-5.83835e-10,-5.747683e-10,-7.354281e-10
0.9500000000000001,-5.70741e-10,-5.878631e-10,-6.024695e-10
0.9,-5.808133e-10,-5.843381e-10,-5.798048e-10
0.8500000000000001,-6.044822e-10,-5.73761e-10,-5.480769e-10
0.8,-5.823227e-10,-6.080071e-10,-6.870794e-10
0.75,-5.828261e-10,-5.727551e-10,-5.369971e-10
0.7000000000000001,-5.878629e-10,-5.803077e-10,-5.66208e-10
0.65,-5.742644e-10,-5.818185e-10,-5.62681e-10
0.6000000000000001,-5.813157e-10,-5.858486e-10,-5.123169e-10
0.55,-5.702357e-10,-5.737605e-10,-5.445515e-10
0.5,-5.878631e-10,-5.803077e-10,-1.18982e-10
0.45,-5.646961e-10,-5.777888e-10,-6.180813e-10
0.4,-5.873595e-10,-6.01461e-10,-6.034752e-10
0.35000000000000003,-5.712432e-10,-5.828273e-10,-6.059934e-10
0.30000000000000004,-5.888694e-10,-5.80812e-10,-5.702357e-10
0.25,-5.71746e-10,-5.742644e-10,-6.009584e-10
0.2,-5.672154e-10,-5.833293e-10,-5.823219e-10
0.15000000000000002,-5.969286e-10,-5.722496e-10,-6.03474e-10
0.1,-5.737605e-10,-6.024679e-10,-5.747678e-10
0.05,-6.059919e-10,-5.767824e-10,-5.828258e-10
0.0,-7.570822e-10,-5.93906e-10,-5.813151e-10
-0.05,-5.954159e-10,-5.500883e-10,-5.989405e-10
-0.1,-5.843361e-10,-5.752718e-10,-5.636875e-10
-0.15000000000000002,-5.787958e-10,-5.440453e-10,-5.949121e-10
-0.2,-5.702336e-10,-5.989419e-10,-6.075027e-10
-0.25,-5.097988e-10,-5.913869e-10,-5.636864e-10
-0.30000000000000004,-5.898761e-10,-6.170714e-10,-5.662049e-10
-0.35000000000000003,-5.808105e-10,-5.70739e-10,-5.908841e-10
