date,time,pressure,pressure_setpoint,mfc1_Ar,mfc2_Ar,rh,rh_setpoint,temp,bias,current,max_iv_current,max_cv_current,cv_area,low_freq_z,note
2019-06-28_12-12-26,168.896,,,,,6.01,2.0,,,,,,,,
2019-06-28_12-12-29,168.947,,,,,6.01,2.0,,,,,,,,
2019-06-28_12-12-32,168.996,,,,,6.01,2.0,,,,,,,,
2019-06-28_12-12-35,169.046,,,,,6.023,2.0,,,,,,,,
2019-06-28_12-12-38,169.096,,,,,6.023,2.0,,,,,,,,
2019-06-28_12-12-41,169.146,,,,,6.01,2.0,,,,,,,,
2019-06-28_12-12-44,169.196,,,,,6.023,2.0,,,,,,,,
2019-06-28_12-12-47,169.246,,,,,6.01,2.0,,,,,,,,
2019-06-28_12-12-50,169.297,,,,,6.01,2.0,,,,,,,,
2019-06-28_12-12-53,169.346,,,,,6.023,2.0,,,,,,,,
2019-06-28_12-12-56,169.396,,,,,6.01,2.0,,,,,,,,
2019-06-28_12-12-59,169.446,,,,,5.984,2.0,,,,,,,,
2019-06-28_12-13-02,169.497,,,,,6.01,2.0,,,,,,,,
2019-06-28_12-13-05,169.546,,,,,6.023,2.0,,,,,,,,
2019-06-28_12-13-08,169.596,,,,,6.023,2.0,,,,,,,,
2019-06-28_12-13-11,169.647,,,,,6.023,2.0,,,,,,,,
2019-06-28_12-13-14,169.696,,,,,6.01,2.0,,,,,,,,
2019-06-28_12-13-17,169.746,,,,,6.023,2.0,,,,,,,,
2019-06-28_12-13-20,169.796,,,,,5.945,2.0,,,,,,,,
2019-06-28_12-13-23,169.846,,,,,6.01,2.0,,,,,,,,
2019-06-28_12-13-26,169.896,,,,,5.997,2.0,,,,,,,,
2019-06-28_12-13-29,169.947,,,,,6.01,2.0,,,,,,,,
2019-06-28_12-13-32,169.997,,,,,6.023,2.0,,,,,,,,
2019-06-28_12-13-35,170.046,,,,,6.01,2.0,,,,,,,,
2019-06-28_12-13-38,170.096,,,,,6.01,2.0,,,,,,,,
2019-06-28_12-13-41,170.146,,,,,6.023,2.0,,,,,,,,
2019-06-28_12-13-44,170.196,,,,,6.01,2.0,,,,,,,,
2019-06-28_12-13-47,170.246,,,,,6.01,2.0,,,,,,,,
2019-06-28_12-13-50,170.296,,,,,6.01,2.0,,,,,,,,
2019-06-28_12-13-53,170.346,,,,,6.023,2.0,,,,,,,,
2019-06-28_12-13-56,170.396,,,,,6.023,2.0,,,,,,,,
2019-06-28_12-13-59,170.446,,,,,6.049,2.0,,,,,,,,
2019-06-28_12-14-02,170.497,,,,,6.01,2.0,,,,,,,,
2019-06-28_12-14-05,170.546,,,,,6.023,2.0,,,,,,,,
2019-06-28_12-14-08,170.596,,,,,5.997,2.0,,,,,,,,
2019-06-28_12-14-11,170.647,,,,,6.01,2.0,,,,,,,,
