freq__2019-06-27_16-35-14_,rs__2019-06-27_16-35-14_,xs__2019-06-27_16-35-14_,freq__2019-06-27_16-35-47_,rs__2019-06-27_16-35-47_,xs__2019-06-27_16-35-47_,freq__2019-06-27_16-36-19_,rs__2019-06-27_16-36-19_,xs__2019-06-27_16-36-19_
4959410.0,3.466796875,-295.75,4960641.0,63.9375,1455.0,4956342.0,-8.4140625,-914.0
4959430.0,3.6484375,-285.75,4960661.0,65.0625,1531.0,4956362.0,-8.0859375,-912.5
4959450.0,3.9765625,-275.25,4960681.0,69.375,1616.0,4956382.0,-8.4375,-910.5
4959470.0,4.28515625,-264.0,4960701.0,75.8125,1704.0,4956402.0,-8.5859375,-910.0
4959490.0,4.60546875,-253.0,4960721.0,80.0625,1800.0,4956422.0,-7.7578125,-907.0
4959510.0,4.8046875,-241.625,4960741.0,87.3125,1904.0,4956442.0,-7.921875,-906.0
4959530.0,5.13671875,-230.0,4960761.0,89.4375,2009.0,4956462.0,-8.2890625,-905.0
4959550.0,5.484375,-218.125,4960781.0,98.4375,2122.0,4956482.0,-8.7578125,-903.0
4959570.0,5.796875,-205.875,4960801.0,104.3125,2248.0,4956502.0,-8.2734375,-901.0
4959590.0,6.015625,-193.5,4960821.0,113.9375,2386.0,4956522.0,-8.4453125,-899.5
4959610.0,6.37109375,-180.75,4960841.0,122.8125,2526.0,4956542.0,-7.21484375,-898.5
4959630.0,6.60546875,-167.75,4960861.0,139.375,2680.0,4956562.0,-7.73046875,-896.0
4959650.0,6.98046875,-154.25,4960881.0,149.75,2850.0,4956582.0,-8.46875,-894.0
4959670.0,7.41796875,-140.375,4960901.0,159.875,3028.0,4956602.0,-7.6328125,-893.0
4959690.0,7.90625,-126.3125,4960921.0,179.125,3232.0,4956622.0,-7.90234375,-891.0
4959710.0,8.5546875,-111.75,4960941.0,193.75,3458.0,4956642.0,-7.734375,-889.5
4959730.0,9.3125,-96.875,4960961.0,220.5,3696.0,4956662.0,-8.03125,-887.5
4959750.0,10.140625,-81.5625,4960981.0,256.75,3954.0,4956682.0,-7.98046875,-885.5
4959770.0,10.96875,-65.75,4961001.0,257.0,4264.0,4956702.0,-6.4921875,-883.5
4959790.0,11.7734375,-49.4375,4961021.0,283.5,4588.0,4956722.0,-8.0,-882.0
4959810.0,12.3984375,-32.40625,4961041.0,331.25,4984.0,4956742.0,-7.8125,-880.0
4959830.0,12.65625,-14.640625,4961061.0,391.25,5416.0,4956762.0,-8.5,-879.0
4959850.0,12.421875,3.8125,4961081.0,474.75,5916.0,4956782.0,-7.6953125,-877.0
4959870.0,11.7578125,22.75,4961101.0,517.5,6452.0,4956802.0,-7.67578125,-875.0
4959890.0,10.8359375,42.0,4961121.0,616.0,7168.0,4956822.0,-7.81640625,-872.5
4959911.0,10.015625,61.40625,4961142.0,681.0,8008.0,4956843.0,-7.5390625,-871.0
4959931.0,9.484375,81.0,4961162.0,861.0,8872.0,4956863.0,-7.16015625,-868.5
4959951.0,9.3203125,100.9375,4961182.0,1088.0,10064.0,4956883.0,-7.8515625,-867.5
4959971.0,9.4921875,122.3125,4961202.0,1346.0,11664.0,4956903.0,-7.8984375,-865.5
4959991.0,9.875,142.875,4961222.0,1878.0,13656.0,4956923.0,-7.24609375,-863.0
4960011.0,10.3046875,164.0,4961242.0,2476.0,16000.0,4956943.0,-6.91796875,-860.5
4960031.0,10.703125,185.75,4961262.0,3518.0,19904.0,4956963.0,-7.3984375,-859.0
4960051.0,11.1640625,208.125,4961282.0,5632.0,25312.0,4956983.0,-6.86328125,-857.0
4960071.0,11.6015625,231.25,4961302.0,10904.0,35424.0,4957003.0,-7.265625,-855.0
4960091.0,12.0546875,255.375,4961322.0,23936.0,49536.0,4957023.0,-7.4765625,-853.0
4960111.0,12.578125,280.25,4961342.0,64992.0,57120.0,4957043.0,-6.50390625,-850.5
4960131.0,13.1328125,306.0,4961362.0,64992.0,-56160.0,4957063.0,-6.6640625,-848.5
4960151.0,13.7734375,332.75,4961382.0,25376.0,-54624.0,4957083.0,-7.359375,-846.5
4960171.0,14.7109375,360.0,4961402.0,10408.0,-37056.0,4957103.0,-6.9375,-844.0
4960191.0,15.546875,388.75,4961422.0,5732.0,-28448.0,4957123.0,-6.95703125,-842.0
4960211.0,16.515625,418.25,4961442.0,3470.0,-22480.0,4957143.0,-7.6796875,-839.0
4960231.0,17.515625,448.75,4961462.0,2652.0,-18608.0,4957163.0,-7.59375,-838.0
4960251.0,18.640625,480.25,4961482.0,1538.0,-16128.0,4957183.0,-7.453125,-835.0
4960271.0,19.453125,513.0,4961502.0,1193.0,-14376.0,4957203.0,-6.56640625,-833.5
4960291.0,21.125,547.0,4961522.0,913.5,-12656.0,4957223.0,-7.15625,-830.0
4960311.0,22.9375,582.5,4961542.0,738.5,-11544.0,4957243.0,-7.3046875,-828.5
4960331.0,23.640625,619.5,4961562.0,516.5,-10696.0,4957263.0,-6.19140625,-826.0
4960351.0,24.875,657.0,4961582.0,454.5,-9848.0,4957283.0,-6.6796875,-823.5
4960371.0,27.109375,697.5,4961602.0,453.0,-9128.0,4957303.0,-7.0546875,-820.5
4960391.0,28.4375,739.0,4961622.0,369.75,-8520.0,4957323.0,-7.25,-818.5
4960412.0,30.109375,782.0,4961643.0,247.25,-8052.0,4957344.0,-6.51171875,-816.0
4960432.0,31.484375,827.0,4961663.0,272.5,-7628.0,4957364.0,-6.53515625,-814.0
4960452.0,34.03125,876.0,4961683.0,218.75,-7204.0,4957384.0,-7.1875,-811.5
4960472.0,36.34375,925.0,4961703.0,164.5,-6864.0,4957404.0,-6.7265625,-809.0
4960492.0,37.15625,977.0,4961723.0,171.375,-6572.0,4957424.0,-6.62890625,-806.5
4960512.0,41.0625,1031.0,4961743.0,129.75,-6324.0,4957444.0,-6.3203125,-803.5
4960532.0,43.28125,1087.0,4961763.0,133.125,-6048.0,4957464.0,-6.8203125,-801.0
4960552.0,46.46875,1147.0,4961783.0,103.3125,-5860.0,4957484.0,-6.2890625,-798.0
4960572.0,48.0625,1209.0,4961803.0,125.9375,-5624.0,4957504.0,-6.49609375,-795.5
4960592.0,52.0625,1274.0,4961823.0,75.3125,-5448.0,4957524.0,-5.9765625,-793.0
4960612.0,55.28125,1343.0,4961843.0,89.375,-5288.0,4957544.0,-6.3671875,-791.0
4960632.0,58.625,1418.0,4961863.0,98.375,-5132.0,4957564.0,-6.9765625,-787.5
4960652.0,62.90625,1494.0,4961883.0,64.625,-4984.0,4957584.0,-6.1953125,-785.0
4960672.0,65.75,1579.0,4961903.0,61.28125,-4868.0,4957604.0,-6.48046875,-782.0
4960692.0,71.5625,1664.0,4961923.0,62.34375,-4720.0,4957624.0,-6.0078125,-779.5
4960712.0,78.875,1755.0,4961943.0,43.3125,-4632.0,4957644.0,-6.59375,-777.0
4960732.0,85.3125,1853.0,4961963.0,41.4375,-4500.0,4957664.0,-6.65625,-774.0
