freq__2019-06-28_12-09-26_,rs__2019-06-28_12-09-26_,xs__2019-06-28_12-09-26_,freq__2019-06-28_12-12-26_,rs__2019-06-28_12-12-26_,xs__2019-06-28_12-12-26_,freq__2019-06-28_12-14-11_,rs__2019-06-28_12-14-11_,xs__2019-06-28_12-14-11_,freq__2019-06-28_12-15-56_,rs__2019-06-28_12-15-56_,xs__2019-06-28_12-15-56_,freq__2019-06-28_12-17-41_,rs__2019-06-28_12-17-41_,xs__2019-06-28_12-17-41_,freq__2019-06-28_12-19-26_,rs__2019-06-28_12-19-26_,xs__2019-06-28_12-19-26_,freq__2019-06-28_12-21-11_,rs__2019-06-28_12-21-11_,xs__2019-06-28_12-21-11_,freq__2019-06-28_12-22-56_,rs__2019-06-28_12-22-56_,xs__2019-06-28_12-22-56_,freq__2019-06-28_12-24-41_,rs__2019-06-28_12-24-41_,xs__2019-06-28_12-24-41_
64342039.0,11.21875,-105.875,64341162.0,11.203125,-105.9375,64341267.0,11.1640625,-105.9375,64341302.0,11.15625,-105.9375,64341266.0,11.15625,-105.9375,64341301.0,11.109375,-105.9375,64341265.0,11.09375,-105.9375,64341300.0,11.078125,-106.0,64341264.0,11.0546875,-106.0
64342109.0,11.234375,-105.875,64341232.0,11.203125,-105.9375,64341337.0,11.1875,-105.875,64341372.0,11.15625,-105.9375,64341336.0,11.140625,-105.9375,64341371.0,11.1171875,-105.9375,64341335.0,11.1015625,-105.9375,64341370.0,11.109375,-106.0,64341334.0,11.0703125,-106.0
64342179.0,11.234375,-105.875,64341302.0,11.2265625,-105.875,64341407.0,11.1953125,-105.875,64341442.0,11.1484375,-105.9375,64341406.0,11.1484375,-105.9375,64341441.0,11.1171875,-105.9375,64341405.0,11.1015625,-105.9375,64341440.0,11.1171875,-105.9375,64341404.0,11.09375,-106.0
64342249.0,11.2421875,-105.875,64341372.0,11.2265625,-105.9375,64341477.0,11.1953125,-105.875,64341512.0,11.1796875,-105.9375,64341476.0,11.15625,-105.9375,64341511.0,11.1328125,-105.9375,64341475.0,11.09375,-105.9375,64341510.0,11.1015625,-105.9375,64341474.0,11.0703125,-106.0
64342319.0,11.2421875,-105.875,64341442.0,11.234375,-105.9375,64341547.0,11.2109375,-105.875,64341582.0,11.1484375,-105.9375,64341546.0,11.1640625,-105.9375,64341581.0,11.1328125,-105.9375,64341545.0,11.125,-105.9375,64341580.0,11.109375,-105.9375,64341544.0,11.0703125,-106.0
64342389.0,11.25,-105.875,64341512.0,11.234375,-105.9375,64341617.0,11.1953125,-105.875,64341652.0,11.1640625,-105.875,64341616.0,11.1640625,-105.9375,64341651.0,11.1328125,-105.9375,64341615.0,11.1171875,-105.9375,64341650.0,11.1171875,-105.9375,64341614.0,11.0859375,-106.0
64342459.0,11.25,-105.875,64341582.0,11.2265625,-105.875,64341687.0,11.2109375,-105.875,64341722.0,11.1796875,-105.9375,64341686.0,11.15625,-105.9375,64341721.0,11.1484375,-105.9375,64341685.0,11.125,-105.9375,64341720.0,11.09375,-105.9375,64341684.0,11.078125,-106.0
64342529.0,11.234375,-105.875,64341652.0,11.2265625,-105.875,64341757.0,11.1953125,-105.875,64341792.0,11.1953125,-105.875,64341756.0,11.15625,-105.9375,64341791.0,11.1484375,-105.9375,64341755.0,11.125,-105.9375,64341790.0,11.09375,-105.9375,64341754.0,11.078125,-106.0
64342600.0,11.2421875,-105.8125,64341723.0,11.234375,-105.875,64341828.0,11.1875,-105.875,64341863.0,11.171875,-105.875,64341827.0,11.1640625,-105.9375,64341862.0,11.1171875,-105.9375,64341826.0,11.1015625,-105.9375,64341861.0,11.109375,-105.9375,64341825.0,11.078125,-106.0
64342670.0,11.25,-105.875,64341793.0,11.2421875,-105.875,64341898.0,11.203125,-105.875,64341933.0,11.171875,-105.875,64341897.0,11.1640625,-105.9375,64341932.0,11.140625,-105.9375,64341896.0,11.125,-105.9375,64341931.0,11.1171875,-105.9375,64341895.0,11.0703125,-106.0
