freq__2019-06-28_12-09-26_,rs__2019-06-28_12-09-26_,xs__2019-06-28_12-09-26_,freq__2019-06-28_12-12-26_,rs__2019-06-28_12-12-26_,xs__2019-06-28_12-12-26_,freq__2019-06-28_12-14-11_,rs__2019-06-28_12-14-11_,xs__2019-06-28_12-14-11_,freq__2019-06-28_12-15-56_,rs__2019-06-28_12-15-56_,xs__2019-06-28_12-15-56_,freq__2019-06-28_12-17-41_,rs__2019-06-28_12-17-41_,xs__2019-06-28_12-17-41_,freq__2019-06-28_12-19-26_,rs__2019-06-28_12-19-26_,xs__2019-06-28_12-19-26_,freq__2019-06-28_12-21-11_,rs__2019-06-28_12-21-11_,xs__2019-06-28_12-21-11_,freq__2019-06-28_12-22-56_,rs__2019-06-28_12-22-56_,xs__2019-06-28_12-22-56_,freq__2019-06-28_12-24-41_,rs__2019-06-28_12-24-41_,xs__2019-06-28_12-24-41_
44545305.0,10.0625,-150.625,44545380.0,9.9921875,-150.625,44545354.0,9.953125,-150.625,44545429.0,9.9140625,-150.625,44545403.0,9.859375,-150.625,44545428.0,9.84375,-150.625,44545402.0,9.7890625,-150.625,44545427.0,9.7734375,-150.625,44545401.0,9.75,-150.625
44545355.0,10.0390625,-150.625,44545430.0,10.0234375,-150.625,44545404.0,9.9453125,-150.625,44545479.0,9.921875,-150.625,44545453.0,9.8828125,-150.625,44545478.0,9.8515625,-150.625,44545452.0,9.8125,-150.625,44545477.0,9.8125,-150.625,44545451.0,9.765625,-150.625
44545405.0,10.078125,-150.625,44545480.0,10.0234375,-150.625,44545454.0,9.9921875,-150.625,44545529.0,9.9296875,-150.625,44545503.0,9.875,-150.625,44545528.0,9.859375,-150.625,44545502.0,9.84375,-150.625,44545527.0,9.796875,-150.625,44545501.0,9.7734375,-150.625
44545455.0,10.0390625,-150.625,44545530.0,10.0390625,-150.625,44545504.0,9.96875,-150.625,44545579.0,9.9375,-150.625,44545553.0,9.90625,-150.625,44545578.0,9.8828125,-150.625,44545552.0,9.8359375,-150.625,44545577.0,9.796875,-150.625,44545551.0,9.7890625,-150.625
44545505.0,10.046875,-150.625,44545580.0,10.03125,-150.625,44545554.0,9.9765625,-150.625,44545629.0,9.9453125,-150.625,44545603.0,9.90625,-150.625,44545628.0,9.84375,-150.625,44545602.0,9.8203125,-150.625,44545627.0,9.8203125,-150.625,44545601.0,9.765625,-150.625
44545555.0,10.046875,-150.625,44545630.0,10.03125,-150.625,44545604.0,9.9921875,-150.625,44545679.0,9.9140625,-150.5,44545653.0,9.8828125,-150.625,44545678.0,9.84375,-150.625,44545652.0,9.828125,-150.625,44545677.0,9.828125,-150.625,44545651.0,9.7890625,-150.625
44545605.0,10.0703125,-150.625,44545680.0,10.046875,-150.625,44545654.0,9.9921875,-150.5,44545729.0,9.9296875,-150.5,44545703.0,9.8984375,-150.625,44545728.0,9.8671875,-150.625,44545702.0,9.8359375,-150.625,44545727.0,9.8125,-150.625,44545701.0,9.78125,-150.625
44545655.0,10.0703125,-150.625,44545730.0,10.0625,-150.625,44545704.0,9.9921875,-150.5,44545779.0,9.953125,-150.625,44545753.0,9.9296875,-150.625,44545778.0,9.8671875,-150.625,44545752.0,9.84375,-150.625,44545777.0,9.8359375,-150.625,44545751.0,9.78125,-150.625
44545705.0,10.078125,-150.5,44545780.0,10.0546875,-150.625,44545754.0,10.0,-150.5,44545829.0,9.9375,-150.5,44545803.0,9.8984375,-150.5,44545828.0,9.9140625,-150.625,44545802.0,9.84375,-150.5,44545827.0,9.8125,-150.625,44545801.0,9.765625,-150.625
44545755.0,10.1015625,-150.625,44545830.0,10.0390625,-150.5,44545804.0,9.9921875,-150.5,44545879.0,9.9609375,-150.5,44545853.0,9.9140625,-150.5,44545878.0,9.8828125,-150.5,44545852.0,9.84375,-150.5,44545877.0,9.84375,-150.5,44545851.0,9.796875,-150.625
44545806.0,10.0859375,-150.5,44545881.0,10.0546875,-150.5,44545855.0,9.984375,-150.5,44545930.0,9.9453125,-150.5,44545904.0,9.9296875,-150.5,44545929.0,9.8984375,-150.5,44545903.0,9.8671875,-150.625,44545928.0,9.8125,-150.5,44545902.0,9.8046875,-150.625
44545856.0,10.046875,-150.5,44545931.0,10.0625,-150.5,44545905.0,10.015625,-150.5,44545980.0,9.953125,-150.5,44545954.0,9.8984375,-150.5,44545979.0,9.890625,-150.5,44545953.0,9.875,-150.5,44545978.0,9.8203125,-150.5,44545952.0,9.8125,-150.5
