date,time,pressure,pressure_setpoint,mfc1_Ar,mfc2_Ar,rh,rh_setpoint,temp,bias,current,max_iv_current,max_cv_current,cv_area,low_freq_z,note
2019-06-27_14-59-44,237.105,,,,,,,,,,,,,,pbi
2019-06-27_14-59-46,237.139,,,,,,,,,,,,,,pbi
2019-06-27_14-59-48,237.172,,,,,,,,,,,,,,pbi
2019-06-27_14-59-50,237.206,,,,,,,,,,,,,,pbi
2019-06-27_14-59-52,237.238,,,,,,,,,,,,,,pbi
2019-06-27_14-59-54,237.272,,,,,,,,,,,,,,pbi
2019-06-27_14-59-56,237.305,,,,,,,,,,,,,,pbi
2019-06-27_14-59-58,237.339,,,,,,,,,,,,,,pbi
2019-06-27_15-00-00,237.372,,,,,,,,,,,,,,pbi
2019-06-27_15-00-02,237.405,,,,,,,,,,,,,,pbi
2019-06-27_15-00-04,237.438,,,,,,,,,,,,,,pbi
2019-06-27_15-00-06,237.472,,,,,,,,,,,,,,pbi
2019-06-27_15-00-08,237.506,,,,,,,,,,,,,,pbi
2019-06-27_15-00-10,237.539,,,,,,,,,,,,,,pbi
2019-06-27_15-00-12,237.572,,,,,,,,,,,,,,pbi
2019-06-27_15-00-14,237.605,,,,,,,,,,,,,,pbi
2019-06-27_15-00-16,237.639,,,,,,,,,,,,,,pbi
2019-06-27_15-00-18,237.672,,,,,,,,,,,,,,pbi
2019-06-27_15-00-20,237.706,,,,,,,,,,,,,,pbi
2019-06-27_15-00-22,237.739,,,,,,,,,,,,,,pbi
2019-06-27_15-00-24,237.772,,,,,,,,,,,,,,pbi
2019-06-27_15-00-26,237.805,,,,,,,,,,,,,,pbi
2019-06-27_15-00-28,237.838,,,,,,,,,,,,,,pbi
2019-06-27_15-00-30,237.872,,,,,,,,,,,,,,pbi
2019-06-27_15-00-32,237.905,,,,,,,,,,,,,,pbi
2019-06-27_15-00-34,237.938,,,,,,,,,,,,,,pbi
2019-06-27_15-00-36,237.972,,,,,,,,,,,,,,pbi
2019-06-27_15-00-38,238.005,,,,,,,,,,,,,,pbi
2019-06-27_15-00-40,238.038,,,,,,,,,,,,,,pbi
2019-06-27_15-00-42,238.072,,,,,,,,,,,,,,pbi
2019-06-27_15-00-44,238.105,,,,,,,,,,,,,,pbi
2019-06-27_15-00-46,238.139,,,,,,,,,,,,,,pbi
2019-06-27_15-00-48,238.172,,,,,,,,,,,,,,pbi
2019-06-27_15-00-50,238.206,,,,,,,,,,,,,,pbi
2019-06-27_15-00-52,238.239,,,,,,,,,,,,,,pbi
2019-06-27_15-00-54,238.272,,,,,,,,,,,,,,pbi
2019-06-27_15-00-56,238.306,,,,,,,,,,,,,,pbi
2019-06-27_15-00-58,238.338,,,,,,,,,,,,,,pbi
2019-06-27_15-01-00,238.372,,,,,,,,,,,,,,pbi
2019-06-27_15-01-02,238.405,,,,,,,,,,,,,,pbi
2019-06-27_15-01-04,238.439,,,,,,,,,,,,,,pbi
2019-06-27_15-01-06,238.472,,,,,,,,,,,,,,pbi
2019-06-27_15-01-08,238.506,,,,,,,,,,,,,,pbi
2019-06-27_15-01-10,238.538,,,,,,,,,,,,,,pbi
2019-06-27_15-01-12,238.572,,,,,,,,,,,,,,pbi
2019-06-27_15-01-14,238.605,,,,,,,,,,,,,,pbi
2019-06-27_15-01-16,238.638,,,,,,,,,,,,,,pbi
2019-06-27_15-01-18,238.672,,,,,,,,,,,,,,pbi
2019-06-27_15-01-20,238.706,,,,,,,,,,,,,,pbi
2019-06-27_15-01-22,238.739,,,,,,,,,,,,,,pbi
2019-06-27_15-01-24,238.772,,,,,,,,,,,,,,pbi
2019-06-27_15-01-26,238.805,,,,,,,,,,,,,,pbi
2019-06-27_15-01-28,238.838,,,,,,,,,,,,,,pbi
2019-06-27_15-01-30,238.872,,,,,,,,,,,,,,pbi
2019-06-27_15-01-32,238.906,,,,,,,,,,,,,,pbi
2019-06-27_15-01-34,238.938,,,,,,,,,,,,,,pbi
2019-06-27_15-01-36,238.972,,,,,,,,,,,,,,pbi
2019-06-27_15-01-38,239.005,,,,,,,,,,,,,,pbi
2019-06-27_15-01-40,239.039,,,,,,,,,,,,,,pbi
2019-06-27_15-01-42,239.072,,,,,,,,,,,,,,pbi
2019-06-27_15-01-44,239.105,,,,,,,,,,,,,,pbi
2019-06-27_15-01-46,239.139,,,,,,,,,,,,,,pbi
2019-06-27_15-01-48,239.172,,,,,,,,,,,,,,pbi
2019-06-27_15-01-50,239.205,,,,,,,,,,,,,,pbi
2019-06-27_15-01-52,239.238,,,,,,,,,,,,,,pbi
2019-06-27_15-01-54,239.272,,,,,,,,,,,,,,pbi
2019-06-27_15-01-56,239.305,,,,,,,,,,,,,,pbi
2019-06-27_15-01-58,239.338,,,,,,,,,,,,,,pbi
2019-06-27_15-02-00,239.372,,,,,,,,,,,,,,pbi
2019-06-27_15-02-02,239.405,,,,,,,,,,,,,,pbi
2019-06-27_15-02-04,239.438,,,,,,,,,,,,,,pbi
2019-06-27_15-02-06,239.472,,,,,,,,,,,,,,pbi
2019-06-27_15-02-08,239.506,,,,,,,,,,,,,,pbi
2019-06-27_15-02-10,239.538,,,,,,,,,,,,,,pbi
2019-06-27_15-02-12,239.572,,,,,,,,,,,,,,pbi
2019-06-27_15-02-14,239.605,,,,,,,,,,,,,,pbi
2019-06-27_15-02-16,239.638,,,,,,,,,,,,,,pbi
2019-06-27_15-02-18,239.672,,,,,,,,,,,,,,pbi
2019-06-27_15-02-20,239.705,,,,,,,,,,,,,,pbi
2019-06-27_15-02-22,239.738,,,,,,,,,,,,,,pbi
2019-06-27_15-02-24,239.772,,,,,,,,,,,,,,pbi
2019-06-27_15-02-26,239.805,,,,,,,,,,,,,,pbi
2019-06-27_15-02-28,239.839,,,,,,,,,,,,,,pbi
2019-06-27_15-02-30,239.872,,,,,,,,,,,,,,pbi
2019-06-27_15-02-32,239.905,,,,,,,,,,,,,,pbi
2019-06-27_15-02-34,239.938,,,,,,,,,,,,,,pbi
2019-06-27_15-02-36,239.973,,,,,,,,,,,,,,pbi
2019-06-27_15-02-38,240.005,,,,,,,,,,,,,,pbi
2019-06-27_15-02-40,240.038,,,,,,,,,,,,,,pbi
2019-06-27_15-02-42,240.072,,,,,,,,,,,,,,pbi
2019-06-27_15-02-44,240.105,,,,,,,,,,,,,,pbi
2019-06-27_15-02-46,240.138,,,,,,,,,,,,,,pbi
2019-06-27_15-02-48,240.172,,,,,,,,,,,,,,pbi
2019-06-27_15-02-50,240.206,,,,,,,,,,,,,,pbi
2019-06-27_15-02-52,240.239,,,,,,,,,,,,,,pbi
2019-06-27_15-02-54,240.272,,,,,,,,,,,,,,pbi
2019-06-27_15-02-56,240.305,,,,,,,,,,,,,,pbi
2019-06-27_15-02-58,240.338,,,,,,,,,,,,,,pbi
2019-06-27_15-03-00,240.372,,,,,,,,,,,,,,pbi
2019-06-27_15-03-02,240.406,,,,,,,,,,,,,,pbi
2019-06-27_15-03-04,240.439,,,,,,,,,,,,,,pbi
2019-06-27_15-03-06,240.472,,,,,,,,,,,,,,pbi
2019-06-27_15-03-08,240.506,,,,,,,,,,,,,,pbi
2019-06-27_15-03-10,240.538,,,,,,,,,,,,,,pbi
2019-06-27_15-03-12,240.572,,,,,,,,,,,,,,pbi
2019-06-27_15-03-14,240.605,,,,,,,,,,,,,,pbi
2019-06-27_15-03-16,240.638,,,,,,,,,,,,,,pbi
2019-06-27_15-03-18,240.672,,,,,,,,,,,,,,pbi
2019-06-27_15-03-20,240.705,,,,,,,,,,,,,,pbi
2019-06-27_15-03-22,240.738,,,,,,,,,,,,,,pbi
2019-06-27_15-03-24,240.772,,,,,,,,,,,,,,pbi
2019-06-27_15-03-26,240.806,,,,,,,,,,,,,,pbi
