freq__2019-06-28_12-53-54_,rs__2019-06-28_12-53-54_,xs__2019-06-28_12-53-54_,freq__2019-06-28_13-04-33_,rs__2019-06-28_13-04-33_,xs__2019-06-28_13-04-33_
24755515.0,7.71484375,-258.75,24755515.0,7.52734375,-258.75
24755535.0,7.71875,-258.75,24755535.0,7.546875,-258.75
24755555.0,7.75390625,-258.5,24755555.0,7.66015625,-258.5
24755575.0,7.765625,-258.5,24755575.0,7.62890625,-258.5
24755595.0,7.78515625,-258.5,24755595.0,7.69140625,-258.5
24755615.0,7.7578125,-258.5,24755615.0,7.61328125,-258.5
24755635.0,7.79296875,-258.5,24755635.0,7.6015625,-258.5
24755655.0,7.77734375,-258.5,24755655.0,7.65625,-258.5
24755675.0,7.84375,-258.5,24755675.0,7.65625,-258.5
24755695.0,7.765625,-258.5,24755695.0,7.609375,-258.5
24755715.0,7.70703125,-258.5,24755715.0,7.5859375,-258.5
24755735.0,7.828125,-258.5,24755735.0,7.60546875,-258.5
24755755.0,7.8515625,-258.5,24755755.0,7.640625,-258.5
24755775.0,7.8515625,-258.5,24755775.0,7.67578125,-258.5
24755795.0,7.734375,-258.5,24755795.0,7.6328125,-258.5
24755815.0,7.81640625,-258.5,24755815.0,7.578125,-258.5
24755835.0,7.8984375,-258.25,24755835.0,7.69140625,-258.5
24755855.0,7.828125,-258.5,24755855.0,7.6875,-258.5
24755875.0,7.7578125,-258.5,24755875.0,7.63671875,-258.25
24755895.0,7.8515625,-258.25,24755895.0,7.69921875,-258.5
24755915.0,7.82421875,-258.25,24755915.0,7.671875,-258.25
24755935.0,7.80859375,-258.25,24755935.0,7.68359375,-258.25
24755955.0,7.796875,-258.25,24755955.0,7.625,-258.25
24755975.0,7.81640625,-258.25,24755975.0,7.65234375,-258.25
24755995.0,7.828125,-258.25,24755995.0,7.6484375,-258.25
24756015.0,7.83984375,-258.25,24756015.0,7.68359375,-258.25
24756035.0,7.81640625,-258.25,24756035.0,7.69921875,-258.25
24756055.0,7.74609375,-258.25,24756055.0,7.6875,-258.25
24756075.0,7.828125,-258.25,24756075.0,7.640625,-258.25
24756095.0,7.78515625,-258.25,24756095.0,7.65234375,-258.25
24756115.0,7.875,-258.0,24756115.0,7.7109375,-258.25
24756135.0,7.7890625,-258.0,24756135.0,7.70703125,-258.0
24756155.0,7.8046875,-258.0,24756155.0,7.68359375,-258.0
24756175.0,7.81640625,-258.0,24756175.0,7.69140625,-258.0
24756195.0,7.8515625,-258.0,24756195.0,7.77734375,-258.0
24756215.0,7.85546875,-258.0,24756215.0,7.73828125,-258.0
24756235.0,7.859375,-258.0,24756235.0,7.73828125,-258.0
24756255.0,7.79296875,-258.0,24756255.0,7.73046875,-258.0
24756275.0,7.84765625,-258.0,24756275.0,7.76171875,-258.0
24756295.0,7.84765625,-258.0,24756295.0,7.6796875,-258.0
24756315.0,7.8515625,-257.75,24756315.0,7.6640625,-258.0
24756335.0,7.890625,-257.75,24756335.0,7.7109375,-258.0
24756355.0,7.85546875,-258.0,24756355.0,7.69921875,-257.75
24756375.0,7.84765625,-257.75,24756375.0,7.6640625,-257.75
24756395.0,7.79296875,-257.75,24756395.0,7.6953125,-257.75
24756415.0,7.8203125,-257.75,24756415.0,7.671875,-257.75
24756435.0,7.85546875,-257.75,24756435.0,7.69140625,-257.75
24756455.0,7.79296875,-257.75,24756455.0,7.6875,-257.75
24756475.0,7.84765625,-257.75,24756475.0,7.69140625,-257.75
24756495.0,7.9140625,-257.75,24756495.0,7.71875,-257.75
24756516.0,7.85546875,-257.75,24756516.0,7.68359375,-257.75
24756536.0,7.88671875,-257.75,24756536.0,7.73046875,-257.75
24756556.0,7.84765625,-257.5,24756556.0,7.70703125,-257.5
24756576.0,7.8515625,-257.75,24756576.0,7.68359375,-257.5
24756596.0,7.80078125,-257.5,24756596.0,7.67578125,-257.75
24756616.0,7.83984375,-257.5,24756616.0,7.7109375,-257.5
