freq__2019-06-27_16-18-43_,rs__2019-06-27_16-18-43_,xs__2019-06-27_16-18-43_
34656772.0,8.421875,-189.25
34656784.0,8.40625,-189.25
34656797.0,8.4375,-189.25
34656809.0,8.484375,-189.25
34656822.0,8.4765625,-189.25
34656834.0,8.46875,-189.25
34656847.0,8.5234375,-189.25
34656859.0,8.484375,-189.25
34656872.0,8.4765625,-189.25
34656884.0,8.453125,-189.25
34656897.0,8.4921875,-189.25
34656909.0,8.484375,-189.25
34656922.0,8.4765625,-189.25
34656934.0,8.46875,-189.25
34656947.0,8.421875,-189.25
34656959.0,8.5234375,-189.25
34656972.0,8.4921875,-189.25
34656984.0,8.5078125,-189.25
34656997.0,8.515625,-189.125
34657009.0,8.5390625,-189.25
34657022.0,8.4765625,-189.25
34657034.0,8.5078125,-189.25
34657047.0,8.4609375,-189.125
34657059.0,8.484375,-189.125
34657072.0,8.484375,-189.125
34657084.0,8.46875,-189.25
34657097.0,8.4921875,-189.125
34657109.0,8.4921875,-189.125
34657122.0,8.4921875,-189.125
34657134.0,8.515625,-189.125
34657147.0,8.484375,-189.125
34657159.0,8.515625,-189.25
34657172.0,8.5,-189.25
34657184.0,8.4921875,-189.125
34657197.0,8.53125,-189.125
34657209.0,8.5078125,-189.125
34657222.0,8.5234375,-189.125
34657234.0,8.515625,-189.125
34657247.0,8.5390625,-189.125
34657259.0,8.4921875,-189.125
34657272.0,8.4765625,-189.125
34657284.0,8.4765625,-189.125
34657297.0,8.5,-189.125
34657309.0,8.46875,-189.125
34657322.0,8.53125,-189.125
34657334.0,8.515625,-189.125
34657347.0,8.53125,-189.125
34657359.0,8.5546875,-189.125
34657372.0,8.5390625,-189.125
34657384.0,8.5078125,-189.125
34657397.0,8.4921875,-189.125
34657409.0,8.5,-189.125
34657422.0,8.5078125,-189.125
34657434.0,8.484375,-189.125
34657447.0,8.5,-189.125
34657459.0,8.5,-189.125
34657472.0,8.4921875,-189.125
34657484.0,8.5078125,-189.0
34657497.0,8.5625,-189.125
34657509.0,8.515625,-189.0
34657522.0,8.546875,-189.125
34657534.0,8.484375,-189.125
34657547.0,8.53125,-189.0
34657559.0,8.5390625,-189.125
34657572.0,8.53125,-189.125
34657584.0,8.5234375,-189.0
34657597.0,8.53125,-189.0
34657609.0,8.5234375,-189.0
34657622.0,8.546875,-189.0
34657634.0,8.5234375,-189.0
34657647.0,8.546875,-189.0
34657659.0,8.515625,-189.0
34657672.0,8.5,-189.0
34657684.0,8.5546875,-189.0
34657697.0,8.578125,-189.0
34657709.0,8.515625,-189.0
34657722.0,8.53125,-189.0
34657734.0,8.53125,-189.0
34657747.0,8.5234375,-189.0
34657759.0,8.53125,-189.0
34657772.0,8.5,-189.0
34657785.0,8.546875,-189.0
34657797.0,8.5390625,-189.0
34657810.0,8.5078125,-189.0
34657822.0,8.5078125,-189.0
