bias_2019-06-24_15-52-52_,current__1.0V/s_2019-06-24_15-52-52_,current__0.5V/s_2019-06-24_15-52-52_,current__0.1V/s_2019-06-24_15-52-52_
0.0,-1.742691e-09,-5.898785e-10,-5.636902e-10
0.25,-5.752742e-10,-5.662091e-10,-6.009601e-10
0.5,-5.485817e-10,-5.344797e-10,-5.435452e-10
0.75,-5.939087e-10,-5.596615e-10,-5.133276e-10
1.0,-5.299475e-10,-5.435449e-10,-5.546248e-10
1.25,-5.762824e-10,-5.6369e-10,-5.626838e-10
1.5,-5.269247e-10,-5.747709e-10,-5.58151e-10
1.75,-5.556328e-10,-5.324653e-10,-5.591585e-10
2.0,-5.324664e-10,-5.6923e-10,-5.712452e-10
2.25,-5.495885e-10,-5.198751e-10,-5.369986e-10
2.5,-5.017438e-10,-5.803102e-10,-5.475737e-10
2.75,-5.364952e-10,-5.304509e-10,-5.53618e-10
3.0,-5.571433e-10,-5.571441e-10,-5.526121e-10
3.25,-5.385091e-10,-5.571438e-10,-5.697344e-10
3.5,-5.646983e-10,-5.737644e-10,-5.087938e-10
3.75,-5.264218e-10,-5.133275e-10,-6.372206e-10
4.0,-5.128237e-10,-5.808131e-10,-5.631883e-10
4.25,-5.415296e-10,-5.526107e-10,-5.400195e-10
4.5,-5.193702e-10,-5.50093e-10,-5.591579e-10
4.75,-5.218886e-10,-5.334725e-10,-5.228969e-10
5.0,-5.395164e-10,-5.596615e-10,-5.65705e-10
4.75,-5.470709e-10,-5.405244e-10,-5.571442e-10
4.5,-5.57648e-10,-5.848444e-10,-5.324653e-10
4.25,-5.495886e-10,-5.510996e-10,-5.480784e-10
4.0,-5.722521e-10,-5.682247e-10,-5.591579e-10
3.75,-5.596618e-10,-5.259178e-10,-5.284378e-10
3.5,-5.626845e-10,-5.757775e-10,-5.616767e-10
3.25,-5.848427e-10,-5.279329e-10,-5.888722e-10
3.0,-5.913904e-10,-5.73259e-10,-5.334738e-10
2.75,-6.02471e-10,-5.485817e-10,-5.712451e-10
2.5,-5.631863e-10,-5.939089e-10,-5.722525e-10
2.25,-6.064985e-10,-5.652018e-10,-5.777917e-10
2.0,-5.727562e-10,-5.626838e-10,-5.631869e-10
1.75,-5.782963e-10,-5.787993e-10,-5.73259e-10
1.5,-5.98945e-10,-5.516055e-10,-5.697344e-10
1.25,-5.72756e-10,-5.521078e-10,-5.510999e-10
1.0,-5.591587e-10,-5.596621e-10,-5.787997e-10
0.75,-6.135507e-10,-5.702372e-10,-5.682245e-10
0.5,-6.50315e-10,-5.858489e-10,-5.652024e-10
0.25,-5.818223e-10,-6.02974e-10,-6.044846e-10
0.0,-6.105266e-10,-5.581517e-10,-5.586552e-10
-0.25,-5.989437e-10,-5.959223e-10,-5.561352e-10
-0.5,-6.195933e-10,-5.757764e-10,-5.85345e-10
-0.75,-6.009587e-10,-5.878631e-10,-5.516035e-10
-1.0,-6.105266e-10,-5.591565e-10,-5.903807e-10
-1.25,-6.246279e-10,-5.954168e-10,-5.591563e-10
-1.5,-5.838342e-10,-5.667105e-10,-5.657036e-10
-1.75,-5.923975e-10,-6.034748e-10,-5.692296e-10
-2.0,-6.110294e-10,-5.702371e-10,-5.621787e-10
-2.25,-6.004532e-10,-6.085116e-10,-5.913879e-10
-2.5,-6.457813e-10,-5.803086e-10,-5.450546e-10
-2.75,-5.913893e-10,-5.455593e-10,-5.510992e-10
-3.0,-6.472918e-10,-5.883682e-10,-5.737618e-10
-3.25,-5.94411e-10,-5.868563e-10,-5.415314e-10
-3.5,-6.034764e-10,-5.76783e-10,-5.848427e-10
-3.75,-6.276516e-10,-5.868555e-10,-5.818201e-10
-4.0,-5.94914e-10,-5.657039e-10,-6.024683e-10
-4.25,-6.039789e-10,-5.777918e-10,-5.7628e-10
-4.5,-6.42255e-10,-5.878638e-10,-5.541219e-10
-4.75,-6.266421e-10,-5.913884e-10,-5.697335e-10
-5.0,-6.090165e-10,-5.863526e-10,-5.863537e-10
-4.75,-5.999504e-10,-6.085121e-10,-5.793021e-10
-4.5,-5.989439e-10,-5.682217e-10,-5.893754e-10
-4.25,-5.838353e-10,-6.014618e-10,-5.430397e-10
-4.0,-5.445506e-10,-5.354853e-10,-5.742647e-10
-3.75,-4.82605e-10,-5.853455e-10,-5.853449e-10
-3.5,-5.631855e-10,-5.737618e-10,-5.500929e-10
-3.25,-5.581492e-10,-5.918908e-10,-5.682217e-10
-3.0,-4.327464e-10,-5.405214e-10,-5.737614e-10
-2.75,-3.854039e-10,-5.51602e-10,-5.878634e-10
-2.5,-5.893753e-10,-5.516012e-10,-5.430405e-10
-2.25,-5.747693e-10,-5.641925e-10,-6.034766e-10
-2.0,-5.717479e-10,-5.380045e-10,-5.349827e-10
-1.75,-5.485801e-10,-5.903804e-10,-5.40018e-10
-1.5,-5.541209e-10,-5.274269e-10,-6.25637e-10
-1.25,-5.70739e-10,-5.62682e-10,-5.893739e-10
-1.0,-5.808133e-10,-5.571412e-10,-5.677173e-10
-0.75,-5.269244e-10,-5.697315e-10,-5.526096e-10
-0.5,-5.747698e-10,-5.58149e-10,-5.455595e-10
-0.25,-5.188655e-10,-5.62178e-10,-5.662072e-10
-0.0,-5.646965e-10,-5.54119e-10,-5.65199e-10
0.25,-5.410278e-10,-5.521068e-10,-5.400215e-10
0.5,-5.55633e-10,-5.641956e-10,-5.641939e-10
0.75,-5.29947e-10,-5.35991e-10,-5.576477e-10
1.0,-5.385095e-10,-5.395178e-10,-5.722528e-10
1.25,-4.357689e-10,-5.193718e-10,-5.420357e-10
1.5,-5.234005e-10,-5.702375e-10,-5.531166e-10
1.75,-5.571427e-10,-5.339766e-10,-5.737636e-10
2.0,-4.906644e-10,-5.193702e-10,-5.59662e-10
2.25,-5.440498e-10,-5.349839e-10,-5.858506e-10
2.5,-5.606684e-10,-5.380063e-10,-5.687277e-10
2.75,-5.61676e-10,-5.58654e-10,-5.521079e-10
3.0,-5.551286e-10,-5.405238e-10,-5.576472e-10
3.25,-5.400204e-10,-5.57647e-10,-5.757779e-10
3.5,-5.052692e-10,-5.002334e-10,-5.551297e-10
3.75,-5.213852e-10,-5.465671e-10,-5.636903e-10
4.0,-5.259181e-10,-5.148387e-10,-5.712456e-10
4.25,-5.460634e-10,-5.319623e-10,-5.505963e-10
4.5,-5.697339e-10,-5.153409e-10,-5.516038e-10
4.75,-5.007362e-10,-5.294438e-10,-5.228973e-10
5.0,-4.962037e-10,-5.264227e-10,-5.652021e-10
4.75,-5.36998e-10,-5.813185e-10,-5.536183e-10
4.5,-5.274278e-10,-5.375008e-10,-5.475751e-10
4.25,-5.65201e-10,-5.601652e-10,-5.546248e-10
4.0,-5.455592e-10,-5.505952e-10,-5.621801e-10
3.75,-5.8736e-10,-5.359905e-10,-5.68727e-10
3.5,-5.309558e-10,-5.566392e-10,-5.838355e-10
3.25,-5.873614e-10,-5.450554e-10,-5.76282e-10
3.0,-5.702382e-10,-5.485818e-10,-5.641949e-10
2.75,-5.999516e-10,-5.581495e-10,-5.586543e-10
2.5,-5.621799e-10,-5.480775e-10,-6.014619e-10
2.25,-5.898785e-10,-5.662086e-10,-6.216081e-10
2.0,-5.561374e-10,-5.838366e-10,-5.435458e-10
1.75,-5.793032e-10,-5.969296e-10,-5.631881e-10
1.5,-5.591577e-10,-5.858509e-10,-5.732607e-10
1.25,-5.59663e-10,-5.465671e-10,-5.687273e-10
