freq__2019-06-28_12-09-26_,rs__2019-06-28_12-09-26_,xs__2019-06-28_12-09-26_,freq__2019-06-28_12-12-26_,rs__2019-06-28_12-12-26_,xs__2019-06-28_12-12-26_,freq__2019-06-28_12-14-11_,rs__2019-06-28_12-14-11_,xs__2019-06-28_12-14-11_,freq__2019-06-28_12-15-56_,rs__2019-06-28_12-15-56_,xs__2019-06-28_12-15-56_,freq__2019-06-28_12-17-41_,rs__2019-06-28_12-17-41_,xs__2019-06-28_12-17-41_,freq__2019-06-28_12-19-26_,rs__2019-06-28_12-19-26_,xs__2019-06-28_12-19-26_,freq__2019-06-28_12-21-11_,rs__2019-06-28_12-21-11_,xs__2019-06-28_12-21-11_,freq__2019-06-28_12-22-56_,rs__2019-06-28_12-22-56_,xs__2019-06-28_12-22-56_,freq__2019-06-28_12-24-41_,rs__2019-06-28_12-24-41_,xs__2019-06-28_12-24-41_
34647938.0,9.484375,-190.25,34647396.0,9.4375,-190.5,34647416.0,9.296875,-190.5,34647436.0,9.2734375,-190.5,34647415.0,9.203125,-190.5,34647435.0,9.1953125,-190.5,34647455.0,9.1015625,-190.5,34647475.0,9.1015625,-190.5,34647454.0,9.0546875,-190.5
34647978.0,9.515625,-190.25,34647436.0,9.4609375,-190.5,34647456.0,9.34375,-190.375,34647476.0,9.2890625,-190.5,34647455.0,9.1796875,-190.5,34647475.0,9.1875,-190.5,34647495.0,9.125,-190.5,34647515.0,9.1171875,-190.375,34647494.0,9.0703125,-190.5
34648018.0,9.484375,-190.25,34647476.0,9.484375,-190.5,34647496.0,9.3828125,-190.5,34647516.0,9.3125,-190.5,34647495.0,9.2265625,-190.5,34647515.0,9.2109375,-190.5,34647535.0,9.15625,-190.5,34647555.0,9.1328125,-190.5,34647534.0,9.1171875,-190.5
34648058.0,9.5078125,-190.25,34647516.0,9.5,-190.5,34647536.0,9.3671875,-190.375,34647556.0,9.34375,-190.5,34647535.0,9.2265625,-190.5,34647555.0,9.171875,-190.5,34647575.0,9.1796875,-190.5,34647595.0,9.15625,-190.5,34647574.0,9.09375,-190.5
34648098.0,9.5390625,-190.25,34647556.0,9.5390625,-190.5,34647576.0,9.3984375,-190.375,34647596.0,9.328125,-190.375,34647575.0,9.28125,-190.5,34647595.0,9.25,-190.5,34647615.0,9.1875,-190.375,34647635.0,9.1875,-190.375,34647614.0,9.1328125,-190.375
34648138.0,9.5546875,-190.25,34647596.0,9.4765625,-190.5,34647616.0,9.421875,-190.375,34647636.0,9.328125,-190.375,34647615.0,9.265625,-190.375,34647635.0,9.203125,-190.375,34647655.0,9.2109375,-190.375,34647675.0,9.1328125,-190.375,34647654.0,9.0859375,-190.375
34648178.0,9.5234375,-190.125,34647636.0,9.5078125,-190.375,34647656.0,9.4140625,-190.375,34647676.0,9.2890625,-190.375,34647655.0,9.2734375,-190.375,34647675.0,9.203125,-190.5,34647695.0,9.2265625,-190.375,34647715.0,9.1640625,-190.375,34647694.0,9.1328125,-190.375
34648218.0,9.5234375,-190.125,34647676.0,9.5078125,-190.375,34647696.0,9.34375,-190.375,34647716.0,9.34375,-190.375,34647695.0,9.2421875,-190.375,34647715.0,9.25,-190.375,34647735.0,9.1796875,-190.375,34647755.0,9.1640625,-190.375,34647734.0,9.1015625,-190.375
34648258.0,9.5234375,-190.125,34647716.0,9.4765625,-190.375,34647736.0,9.4140625,-190.375,34647756.0,9.3515625,-190.25,34647735.0,9.3046875,-190.375,34647755.0,9.21875,-190.375,34647775.0,9.2109375,-190.375,34647795.0,9.15625,-190.25,34647774.0,9.109375,-190.375
34648298.0,9.53125,-190.125,34647756.0,9.46875,-190.375,34647776.0,9.3984375,-190.375,34647796.0,9.34375,-190.25,34647775.0,9.2734375,-190.375,34647795.0,9.25,-190.25,34647815.0,9.2265625,-190.375,34647835.0,9.125,-190.25,34647814.0,9.1015625,-190.25
34648338.0,9.546875,-190.0,34647796.0,9.484375,-190.375,34647816.0,9.40625,-190.25,34647836.0,9.34375,-190.25,34647815.0,9.265625,-190.375,34647835.0,9.25,-190.25,34647855.0,9.203125,-190.25,34647875.0,9.15625,-190.25,34647854.0,9.1171875,-190.375
34648378.0,9.5234375,-190.0,34647836.0,9.515625,-190.375,34647856.0,9.390625,-190.25,34647876.0,9.3515625,-190.25,34647855.0,9.2578125,-190.375,34647875.0,9.25,-190.25,34647895.0,9.21875,-190.25,34647915.0,9.125,-190.25,34647894.0,9.125,-190.25
34648418.0,9.5,-190.0,34647876.0,9.5390625,-190.25,34647896.0,9.40625,-190.25,34647916.0,9.3046875,-190.25,34647895.0,9.296875,-190.25,34647915.0,9.234375,-190.25,34647935.0,9.1875,-190.25,34647955.0,9.1640625,-190.25,34647934.0,9.1171875,-190.25
34648459.0,9.5390625,-190.0,34647917.0,9.5234375,-190.25,34647937.0,9.4375,-190.25,34647957.0,9.3203125,-190.25,34647936.0,9.2890625,-190.25,34647956.0,9.25,-190.25,34647976.0,9.1875,-190.25,34647996.0,9.1875,-190.25,34647975.0,9.1171875,-190.25
34648499.0,9.609375,-190.0,34647957.0,9.5234375,-190.25,34647977.0,9.3984375,-190.25,34647997.0,9.375,-190.25,34647976.0,9.3046875,-190.25,34647996.0,9.296875,-190.25,34648016.0,9.1953125,-190.25,34648036.0,9.1640625,-190.25,34648015.0,9.1640625,-190.25
34648539.0,9.53125,-190.0,34647997.0,9.5234375,-190.25,34648017.0,9.4296875,-190.125,34648037.0,9.390625,-190.125,34648016.0,9.3046875,-190.25,34648036.0,9.2265625,-190.125,34648056.0,9.2421875,-190.25,34648076.0,9.140625,-190.25,34648055.0,9.140625,-190.125
34648579.0,9.5625,-190.0,34648037.0,9.5703125,-190.25,34648057.0,9.4375,-190.25,34648077.0,9.3359375,-190.125,34648056.0,9.296875,-190.25,34648076.0,9.2578125,-190.25,34648096.0,9.25,-190.125,34648116.0,9.1640625,-190.25,34648095.0,9.125,-190.125
34648619.0,9.5625,-189.875,34648077.0,9.5234375,-190.125,34648097.0,9.3984375,-190.125,34648117.0,9.3671875,-190.125,34648096.0,9.3203125,-190.125,34648116.0,9.2578125,-190.125,34648136.0,9.2421875,-190.125,34648156.0,9.1953125,-190.125,34648135.0,9.15625,-190.25
34648659.0,9.5703125,-189.875,34648117.0,9.5234375,-190.25,34648137.0,9.3828125,-190.125,34648157.0,9.3984375,-190.125,34648136.0,9.3359375,-190.125,34648156.0,9.2890625,-190.125,34648176.0,9.2265625,-190.125,34648196.0,9.1796875,-190.125,34648175.0,9.140625,-190.125
34648699.0,9.578125,-189.875,34648157.0,9.484375,-190.25,34648177.0,9.4375,-190.125,34648197.0,9.3828125,-190.125,34648176.0,9.3203125,-190.125,34648196.0,9.2734375,-190.125,34648216.0,9.2421875,-190.125,34648236.0,9.15625,-190.125,34648215.0,9.1875,-190.125
34648739.0,9.53125,-189.875,34648197.0,9.5703125,-190.125,34648217.0,9.4453125,-190.125,34648237.0,9.390625,-190.125,34648216.0,9.3125,-190.125,34648236.0,9.234375,-190.125,34648256.0,9.2265625,-190.125,34648276.0,9.1875,-190.125,34648255.0,9.171875,-190.125
34648779.0,9.5703125,-189.875,34648237.0,9.5078125,-190.125,34648257.0,9.40625,-190.125,34648277.0,9.390625,-190.0,34648256.0,9.3046875,-190.125,34648276.0,9.25,-190.125,34648296.0,9.2421875,-190.125,34648316.0,9.2109375,-190.125,34648295.0,9.1875,-190.125
34648819.0,9.578125,-189.75,34648277.0,9.5234375,-190.125,34648297.0,9.40625,-190.0,34648317.0,9.3671875,-190.0,34648296.0,9.3203125,-190.125,34648316.0,9.2734375,-190.125,34648336.0,9.2578125,-190.0,34648356.0,9.15625,-190.0,34648335.0,9.1796875,-190.0
34648859.0,9.515625,-189.75,34648317.0,9.53125,-190.125,34648337.0,9.46875,-190.0,34648357.0,9.3828125,-190.0,34648336.0,9.2890625,-190.125,34648356.0,9.265625,-190.0,34648376.0,9.2265625,-190.0,34648396.0,9.1875,-190.0,34648375.0,9.1328125,-190.0
