freq__2019-06-27_16-18-43_,rs__2019-06-27_16-18-43_,xs__2019-06-27_16-18-43_
14859845.0,4.6015625,-332.5
14859852.0,4.6484375,-332.0
14859860.0,4.6328125,-331.75
14859867.0,4.5703125,-331.25
14859875.0,4.70703125,-331.0
14859882.0,4.84375,-330.5
14859890.0,4.640625,-330.0
14859897.0,4.73828125,-329.75
14859905.0,4.8203125,-329.5
14859912.0,4.83203125,-329.0
14859920.0,4.82421875,-328.75
14859927.0,4.75390625,-328.25
14859935.0,4.890625,-328.0
14859942.0,4.84765625,-327.5
14859950.0,5.0,-327.25
14859957.0,4.80859375,-326.75
14859965.0,4.83203125,-326.25
14859972.0,4.7421875,-326.0
14859980.0,4.96875,-325.5
14859987.0,4.85546875,-325.0
14859995.0,4.8828125,-324.75
14860002.0,4.91015625,-324.25
14860010.0,4.87109375,-324.0
14860017.0,4.93359375,-323.25
14860025.0,5.046875,-323.0
14860032.0,4.91796875,-322.5
14860040.0,5.0,-322.25
14860047.0,4.9765625,-321.75
14860055.0,4.9765625,-321.25
14860062.0,4.96875,-320.75
14860070.0,5.046875,-320.5
14860077.0,5.10546875,-320.0
14860085.0,5.1640625,-319.5
14860092.0,5.08984375,-319.25
14860100.0,5.08984375,-318.5
14860107.0,5.05859375,-318.25
14860115.0,5.0234375,-317.75
14860122.0,4.98828125,-317.25
14860130.0,5.17578125,-316.75
14860137.0,5.08984375,-316.25
14860145.0,5.13671875,-316.0
14860152.0,5.1640625,-315.25
14860160.0,5.11328125,-314.75
14860167.0,5.12109375,-314.25
14860175.0,5.23046875,-314.0
14860182.0,5.2421875,-313.25
14860190.0,5.2265625,-312.75
14860197.0,5.33203125,-312.25
14860205.0,5.18359375,-312.0
14860212.0,5.26171875,-311.25
14860220.0,5.2265625,-311.0
14860227.0,5.2421875,-310.25
14860235.0,5.35546875,-309.75
14860242.0,5.32421875,-309.25
14860250.0,5.359375,-308.75
14860257.0,5.3203125,-308.0
14860265.0,5.296875,-307.75
14860272.0,5.25390625,-307.0
14860280.0,5.30859375,-306.5
14860287.0,5.3828125,-306.0
14860295.0,5.42578125,-305.5
14860302.0,5.4296875,-304.75
14860310.0,5.47265625,-304.25
14860317.0,5.50390625,-303.75
14860325.0,5.55078125,-303.25
14860332.0,5.52734375,-302.5
14860340.0,5.57421875,-302.0
14860347.0,5.515625,-301.25
14860355.0,5.5625,-300.75
14860362.0,5.62109375,-300.25
14860370.0,5.65234375,-299.5
14860377.0,5.6015625,-298.75
14860385.0,5.60546875,-298.25
14860392.0,5.65625,-297.75
14860400.0,5.6796875,-297.0
14860407.0,5.69921875,-296.25
14860415.0,5.76171875,-295.75
14860422.0,5.69140625,-295.25
14860430.0,5.7578125,-294.5
14860437.0,5.78125,-293.75
14860445.0,5.83203125,-293.25
14860452.0,5.7578125,-292.5
14860460.0,5.80078125,-291.75
14860467.0,5.875,-291.0
14860475.0,5.875,-290.5
14860482.0,5.83984375,-289.75
14860490.0,5.97265625,-289.0
14860497.0,6.08203125,-288.25
14860505.0,6.00390625,-287.75
14860512.0,5.92578125,-286.75
14860520.0,6.0,-286.25
14860527.0,6.046875,-285.25
14860535.0,6.05859375,-284.75
14860542.0,6.13671875,-284.0
14860550.0,6.046875,-283.0
14860557.0,6.11328125,-282.25
14860565.0,6.17578125,-281.5
