freq__2019-06-28_12-53-54_,rs__2019-06-28_12-53-54_,xs__2019-06-28_12-53-54_,freq__2019-06-28_13-04-33_,rs__2019-06-28_13-04-33_,xs__2019-06-28_13-04-33_
74259031.0,11.5390625,-91.125,74259031.0,11.5,-91.1875
74259076.0,11.5234375,-91.125,74259076.0,11.5234375,-91.1875
74259121.0,11.546875,-91.1875,74259121.0,11.515625,-91.1875
74259166.0,11.5546875,-91.1875,74259166.0,11.5234375,-91.1875
74259211.0,11.53125,-91.125,74259211.0,11.5390625,-91.1875
74259256.0,11.5625,-91.125,74259256.0,11.5390625,-91.1875
74259301.0,11.5546875,-91.1875,74259301.0,11.515625,-91.1875
74259346.0,11.546875,-91.125,74259346.0,11.515625,-91.1875
74259391.0,11.53125,-91.125,74259391.0,11.5234375,-91.1875
74259436.0,11.5625,-91.125,74259436.0,11.5234375,-91.1875
74259481.0,11.5546875,-91.125,74259481.0,11.5234375,-91.1875
74259526.0,11.546875,-91.125,74259526.0,11.5234375,-91.1875
74259571.0,11.546875,-91.125,74259571.0,11.5390625,-91.1875
74259616.0,11.5546875,-91.125,74259616.0,11.5234375,-91.1875
74259661.0,11.5546875,-91.125,74259661.0,11.5234375,-91.1875
74259706.0,11.5546875,-91.125,74259706.0,11.5234375,-91.1875
74259751.0,11.53125,-91.125,74259751.0,11.5234375,-91.1875
74259796.0,11.5390625,-91.125,74259796.0,11.5390625,-91.1875
74259841.0,11.5546875,-91.125,74259841.0,11.53125,-91.1875
74259886.0,11.546875,-91.125,74259886.0,11.53125,-91.1875
74259931.0,11.546875,-91.125,74259931.0,11.53125,-91.1875
74259976.0,11.5625,-91.125,74259976.0,11.5234375,-91.1875
74260021.0,11.5546875,-91.125,74260021.0,11.53125,-91.125
74260067.0,11.5625,-91.125,74260067.0,11.5234375,-91.125
74260112.0,11.5546875,-91.125,74260112.0,11.546875,-91.1875
74260157.0,11.5546875,-91.125,74260157.0,11.546875,-91.1875
74260202.0,11.5625,-91.125,74260202.0,11.5390625,-91.1875
74260247.0,11.5390625,-91.125,74260247.0,11.5390625,-91.1875
74260292.0,11.546875,-91.125,74260292.0,11.53125,-91.1875
74260337.0,11.5546875,-91.125,74260337.0,11.546875,-91.1875
74260382.0,11.5703125,-91.125,74260382.0,11.5390625,-91.125
74260427.0,11.546875,-91.125,74260427.0,11.5234375,-91.1875
74260472.0,11.546875,-91.125,74260472.0,11.53125,-91.125
74260517.0,11.546875,-91.125,74260517.0,11.5546875,-91.125
74260562.0,11.5625,-91.125,74260562.0,11.53125,-91.1875
74260607.0,11.5546875,-91.125,74260607.0,11.546875,-91.125
74260652.0,11.5703125,-91.125,74260652.0,11.5390625,-91.125
74260697.0,11.5703125,-91.125,74260697.0,11.546875,-91.1875
74260742.0,11.5546875,-91.125,74260742.0,11.53125,-91.125
74260787.0,11.5703125,-91.125,74260787.0,11.53125,-91.125
74260832.0,11.5546875,-91.125,74260832.0,11.546875,-91.125
74260877.0,11.5390625,-91.125,74260877.0,11.5546875,-91.125
74260922.0,11.5625,-91.125,74260922.0,11.53125,-91.125
74260967.0,11.5625,-91.125,74260967.0,11.5234375,-91.1875
74261012.0,11.546875,-91.125,74261012.0,11.5234375,-91.125
74261058.0,11.5625,-91.125,74261058.0,11.53125,-91.125
74261103.0,11.5546875,-91.125,74261103.0,11.5390625,-91.125
74261148.0,11.5703125,-91.125,74261148.0,11.5390625,-91.125
