freq__2019-06-27_16-18-43_,rs__2019-06-27_16-18-43_,xs__2019-06-27_16-18-43_,freq__2019-06-27_16-27-24_,rs__2019-06-27_16-27-24_,xs__2019-06-27_16-27-24_,freq__2019-06-27_16-27-43_,rs__2019-06-27_16-27-43_,xs__2019-06-27_16-27-43_,freq__2019-06-27_16-27-56_,rs__2019-06-27_16-27-56_,xs__2019-06-27_16-27-56_
4959410.0,6.5234375,-298.25,4960632.0,39.34375,1428.0,4956353.0,-3.607421875,-919.5,4956342.0,-3.59375,-919.0
4959415.0,6.4921875,-296.0,4960652.0,47.0,1509.0,4956373.0,-2.52734375,-918.0,4956362.0,-4.20703125,-917.5
4959420.0,6.48046875,-293.25,4960672.0,47.375,1593.0,4956393.0,-3.2578125,-916.0,4956382.0,-4.4140625,-916.5
4959425.0,6.55859375,-290.75,4960692.0,52.25,1680.0,4956413.0,-2.94921875,-914.0,4956402.0,-4.1875,-914.0
4959430.0,6.53515625,-288.0,4960712.0,56.0,1773.0,4956433.0,-2.947265625,-912.5,4956422.0,-3.974609375,-912.0
4959435.0,6.4921875,-285.5,4960732.0,62.125,1868.0,4956453.0,-2.599609375,-912.0,4956442.0,-4.1796875,-911.0
4959440.0,6.5234375,-282.75,4960752.0,67.5,1974.0,4956473.0,-3.248046875,-909.5,4956462.0,-3.72265625,-909.5
4959445.0,6.58203125,-280.0,4960772.0,76.0,2088.0,4956493.0,-2.17578125,-908.0,4956482.0,-3.037109375,-908.0
4959450.0,6.50390625,-277.0,4960792.0,74.0,2210.0,4956513.0,-3.267578125,-906.5,4956502.0,-4.00390625,-905.5
4959455.0,6.62890625,-274.25,4960812.0,89.125,2334.0,4956533.0,-2.2265625,-905.0,4956522.0,-3.62109375,-904.0
4959460.0,6.62890625,-271.5,4960832.0,96.75,2478.0,4956553.0,-2.806640625,-903.0,4956542.0,-3.212890625,-903.0
4959465.0,6.55078125,-268.75,4960852.0,99.625,2630.0,4956573.0,-2.46875,-901.5,4956562.0,-4.0703125,-901.5
4959470.0,6.640625,-266.0,4960872.0,112.9375,2786.0,4956593.0,-3.177734375,-899.5,4956582.0,-4.06640625,-899.0
4959475.0,6.69921875,-263.25,4960892.0,127.1875,2970.0,4956613.0,-2.2109375,-897.5,4956602.0,-2.9765625,-897.0
4959480.0,6.7578125,-260.25,4960912.0,135.875,3166.0,4956633.0,-2.7265625,-896.0,4956622.0,-3.990234375,-896.5
4959485.0,6.671875,-257.5,4960932.0,150.625,3364.0,4956653.0,-2.0,-894.0,4956642.0,-3.123046875,-894.5
4959490.0,6.7421875,-254.75,4960952.0,169.625,3590.0,4956673.0,-2.294921875,-893.0,4956662.0,-3.24609375,-892.5
4959495.0,6.8203125,-251.875,4960972.0,192.0,3862.0,4956693.0,-2.365234375,-889.5,4956682.0,-2.9140625,-890.0
4959500.0,6.796875,-249.0,4960992.0,222.25,4136.0,4956713.0,-2.654296875,-888.0,4956702.0,-2.39453125,-889.0
4959505.0,6.81640625,-246.0,4961012.0,226.0,4452.0,4956733.0,-2.33984375,-887.0,4956722.0,-3.1953125,-887.0
4959510.0,6.953125,-243.125,4961032.0,281.5,4804.0,4956753.0,-3.2890625,-884.5,4956742.0,-2.818359375,-885.0
4959515.0,6.90234375,-240.25,4961052.0,282.75,5184.0,4956773.0,-2.36328125,-883.0,4956762.0,-2.685546875,-884.0
4959520.0,6.99609375,-237.375,4961072.0,354.25,5688.0,4956793.0,-2.064453125,-881.0,4956782.0,-3.70703125,-881.0
4959525.0,7.0234375,-234.375,4961092.0,415.5,6196.0,4956813.0,-2.060546875,-878.5,4956802.0,-3.626953125,-880.0
4959530.0,7.0703125,-231.25,4961112.0,498.75,6804.0,4956833.0,-2.86328125,-877.5,4956822.0,-2.900390625,-876.5
4959535.0,7.046875,-228.375,4961133.0,617.5,7512.0,4956854.0,-2.681640625,-876.0,4956843.0,-3.42578125,-875.5
4959540.0,7.1328125,-225.375,4961153.0,725.0,8392.0,4956874.0,-2.462890625,-873.0,4956863.0,-3.181640625,-874.0
4959545.0,7.1484375,-222.375,4961173.0,861.0,9448.0,4956894.0,-2.24609375,-871.5,4956883.0,-3.25390625,-871.0
4959550.0,7.171875,-219.25,4961193.0,1046.0,10744.0,4956914.0,-2.052734375,-869.5,4956903.0,-3.55078125,-869.5
4959555.0,7.23828125,-216.25,4961213.0,1538.0,12472.0,4956934.0,-2.501953125,-867.5,4956923.0,-3.04296875,-867.5
4959560.0,7.2421875,-213.125,4961233.0,1924.0,14624.0,4956954.0,-2.13671875,-866.5,4956943.0,-3.3125,-865.0
4959565.0,7.27734375,-210.0,4961253.0,2872.0,17456.0,4956974.0,-2.1796875,-863.5,4956963.0,-3.072265625,-864.0
4959570.0,7.3828125,-206.875,4961273.0,4062.0,21760.0,4956994.0,-1.8486328125,-861.5,4956983.0,-2.658203125,-861.0
4959575.0,7.4296875,-203.75,4961293.0,7620.0,27968.0,4957014.0,-1.927734375,-859.0,4957003.0,-3.2265625,-859.0
4959580.0,7.46484375,-200.625,4961313.0,15136.0,38656.0,4957034.0,-2.587890625,-857.0,4957023.0,-3.31640625,-857.5
4959585.0,7.49609375,-197.5,4961333.0,37792.0,55808.0,4957054.0,-2.267578125,-855.5,4957043.0,-3.513671875,-855.0
4959590.0,7.515625,-194.25,4961353.0,64992.0,23968.0,4957074.0,-2.154296875,-852.5,4957063.0,-2.685546875,-852.5
4959595.0,7.6328125,-191.25,4961373.0,62272.0,-64992.0,4957094.0,-2.380859375,-851.5,4957083.0,-2.416015625,-851.0
4959600.0,7.64453125,-188.0,4961393.0,19424.0,-44800.0,4957114.0,-2.345703125,-848.5,4957103.0,-3.373046875,-848.5
4959605.0,7.703125,-184.75,4961413.0,9816.0,-33984.0,4957134.0,-1.9794921875,-846.5,4957123.0,-2.376953125,-847.0
4959610.0,7.7421875,-181.375,4961433.0,5024.0,-25808.0,4957154.0,-2.9609375,-844.0,4957143.0,-3.2109375,-845.0
4959615.0,7.75390625,-178.25,4961453.0,3508.0,-21632.0,4957174.0,-2.103515625,-841.5,4957163.0,-2.962890625,-841.5
4959620.0,7.828125,-174.875,4961473.0,2478.0,-17824.0,4957194.0,-2.208984375,-839.5,4957183.0,-3.287109375,-839.5
4959625.0,7.87890625,-171.625,4961493.0,1847.0,-15632.0,4957214.0,-2.40625,-837.0,4957203.0,-2.84765625,-837.5
4959630.0,7.921875,-168.375,4961513.0,1265.0,-13896.0,4957234.0,-2.13671875,-834.5,4957223.0,-2.6640625,-835.0
4959635.0,8.015625,-165.0,4961533.0,1152.0,-12488.0,4957254.0,-2.064453125,-832.0,4957243.0,-2.2578125,-832.0
4959640.0,8.0234375,-161.5,4961553.0,928.5,-11344.0,4957274.0,-1.943359375,-829.5,4957263.0,-3.158203125,-830.5
4959645.0,8.109375,-158.125,4961573.0,763.0,-10416.0,4957294.0,-1.4169921875,-828.0,4957283.0,-3.033203125,-827.0
