freq__2019-06-28_13-14-55_,rs__2019-06-28_13-14-55_,xs__2019-06-28_13-14-55_,freq__2019-06-28_13-20-55_,rs__2019-06-28_13-20-55_,xs__2019-06-28_13-20-55_,freq__2019-06-28_15-53-41_,rs__2019-06-28_15-53-41_,xs__2019-06-28_15-53-41_
84160735.0,11.8203125,-80.5625,83736360.0,11.8671875,-81.3125,84161585.0,11.875,-80.5
84160785.0,11.8203125,-80.5625,83736810.0,11.8671875,-81.25,84161610.0,11.875,-80.5
84160835.0,11.8125,-80.5,83737260.0,11.8671875,-81.3125,84161635.0,11.8828125,-80.5
84160885.0,11.8359375,-80.5,83737710.0,11.875,-81.25,84161660.0,11.8828125,-80.5
84160935.0,11.84375,-80.5625,83738160.0,11.8828125,-81.25,84161685.0,11.890625,-80.5
84160985.0,11.828125,-80.5625,83738611.0,11.875,-81.25,84161710.0,11.875,-80.5
84161035.0,11.8359375,-80.5,83739061.0,11.8828125,-81.25,84161735.0,11.890625,-80.5
84161085.0,11.8359375,-80.5,83739511.0,11.875,-81.25,84161760.0,11.8984375,-80.5
84161135.0,11.8359375,-80.5,83739961.0,11.8828125,-81.25,84161785.0,11.8828125,-80.5
84161185.0,11.828125,-80.5,83740412.0,11.875,-81.25,84161810.0,11.8828125,-80.5
84161235.0,11.828125,-80.5,83740862.0,11.875,-81.25,84161835.0,11.8828125,-80.5
84161285.0,11.828125,-80.5,83741312.0,11.8828125,-81.25,84161860.0,11.8828125,-80.5
84161335.0,11.8359375,-80.5,83741762.0,11.875,-81.25,84161885.0,11.8984375,-80.5
84161385.0,11.828125,-80.5625,83742212.0,11.8828125,-81.25,84161910.0,11.8828125,-80.5
84161435.0,11.828125,-80.5,83742663.0,11.8828125,-81.25,84161935.0,11.8984375,-80.5
84161485.0,11.8515625,-80.5,83743113.0,11.875,-81.25,84161960.0,11.8984375,-80.5
84161535.0,11.84375,-80.5,83743563.0,11.8828125,-81.25,84161985.0,11.8828125,-80.5
84161585.0,11.8359375,-80.5,83744013.0,11.890625,-81.25,84162010.0,11.8828125,-80.5
84161635.0,11.84375,-80.5,83744464.0,11.890625,-81.25,84162035.0,11.8984375,-80.5
84161685.0,11.828125,-80.5,83744914.0,11.875,-81.25,84162060.0,11.8828125,-80.5
84161736.0,11.8359375,-80.5,83745364.0,11.8828125,-81.25,84162085.0,11.875,-80.5
84161786.0,11.8359375,-80.5,83745814.0,11.8828125,-81.25,84162110.0,11.8828125,-80.5
84161836.0,11.84375,-80.5,83746264.0,11.8828125,-81.25,84162135.0,11.890625,-80.5
84161886.0,11.828125,-80.5,83746715.0,11.890625,-81.25,84162160.0,11.890625,-80.5
84161936.0,11.84375,-80.5,83747165.0,11.8984375,-81.25,84162185.0,11.890625,-80.5
84161986.0,11.8359375,-80.5,83747615.0,11.890625,-81.25,84162210.0,11.8984375,-80.5
84162036.0,11.8359375,-80.5,83748065.0,11.8828125,-81.25,84162235.0,11.890625,-80.5
84162086.0,11.8203125,-80.5,83748516.0,11.8828125,-81.25,84162260.0,11.8984375,-80.5
84162136.0,11.84375,-80.5,83748966.0,11.8984375,-81.25,84162285.0,11.8984375,-80.5
84162186.0,11.8359375,-80.5,83749416.0,11.8984375,-81.25,84162310.0,11.890625,-80.5
84162236.0,11.8359375,-80.5,83749866.0,11.8984375,-81.25,84162335.0,11.8984375,-80.5
84162286.0,11.84375,-80.5,83750316.0,11.890625,-81.25,84162360.0,11.8984375,-80.5
84162336.0,11.84375,-80.5,83750767.0,11.8828125,-81.25,84162385.0,11.890625,-80.5
84162386.0,11.8359375,-80.5,83751217.0,11.890625,-81.25,84162410.0,11.90625,-80.5
84162436.0,11.84375,-80.5,83751667.0,11.890625,-81.25,84162435.0,11.890625,-80.5
84162486.0,11.84375,-80.5,83752117.0,11.890625,-81.25,84162460.0,11.8828125,-80.5
84162536.0,11.8515625,-80.5,83752568.0,11.890625,-81.25,84162485.0,11.8828125,-80.5
84162586.0,11.8359375,-80.5,83753018.0,11.8828125,-81.25,84162510.0,11.8984375,-80.5
84162636.0,11.8359375,-80.5,83753468.0,11.890625,-81.25,84162535.0,11.890625,-80.5
84162686.0,11.8359375,-80.5,83753918.0,11.890625,-81.25,84162560.0,11.90625,-80.5
84162737.0,11.84375,-80.5,83754369.0,11.8828125,-81.25,84162585.0,11.8984375,-80.5
84162787.0,11.8359375,-80.5,83754819.0,11.890625,-81.25,84162610.0,11.8828125,-80.5
84162837.0,11.8359375,-80.5,83755269.0,11.8984375,-81.25,84162635.0,11.890625,-80.5
84162887.0,11.8515625,-80.5,83755719.0,11.890625,-81.25,84162660.0,11.8984375,-80.5
84162937.0,11.8359375,-80.5,83756169.0,11.890625,-81.25,84162685.0,11.890625,-80.5
84162987.0,11.84375,-80.5,83756620.0,11.890625,-81.25,84162710.0,11.890625,-80.5
84163037.0,11.8515625,-80.5,83757070.0,11.890625,-81.25,84162735.0,11.890625,-80.5
84163087.0,11.8359375,-80.5,83757520.0,11.8828125,-81.25,84162760.0,11.890625,-80.5
84163137.0,11.8359375,-80.5,83757970.0,11.8984375,-81.25,84162785.0,11.8828125,-80.5
84163187.0,11.84375,-80.5,83758421.0,11.8984375,-81.25,84162810.0,11.90625,-80.5
84163237.0,11.84375,-80.5,83758871.0,11.8828125,-81.25,84162835.0,11.8984375,-80.4375
84163287.0,11.8359375,-80.5,83759321.0,11.8828125,-81.25,84162860.0,11.8984375,-80.5
84163337.0,11.84375,-80.5,83759771.0,11.890625,-81.25,84162885.0,11.890625,-80.5
84163387.0,11.8359375,-80.5,83760221.0,11.890625,-81.25,84162910.0,11.8984375,-80.5
84163437.0,11.84375,-80.5,83760672.0,11.8984375,-81.25,84162935.0,11.8984375,-80.5
84163487.0,11.8359375,-80.5,83761122.0,11.890625,-81.25,84162960.0,11.8984375,-80.5
84163537.0,11.8515625,-80.5,83761572.0,11.8984375,-81.25,84162985.0,11.8984375,-80.5
84163587.0,11.8359375,-80.5,83762022.0,11.90625,-81.25,84163010.0,11.8828125,-80.4375
84163637.0,11.8359375,-80.5,83762473.0,11.90625,-81.25,84163035.0,11.8984375,-80.5
84163687.0,11.84375,-80.4375,83762923.0,11.890625,-81.25,84163060.0,11.890625,-80.5
84163738.0,11.84375,-80.5,83763373.0,11.8984375,-81.25,84163085.0,11.890625,-80.5
84163788.0,11.828125,-80.5,83763823.0,11.90625,-81.25,84163110.0,11.8984375,-80.5
84163838.0,11.84375,-80.5,83764273.0,11.890625,-81.25,84163135.0,11.9140625,-80.5
84163888.0,11.8359375,-80.5,83764724.0,11.8984375,-81.25,84163160.0,11.8828125,-80.5
84163938.0,11.8515625,-80.5,83765174.0,11.8984375,-81.25,84163185.0,11.890625,-80.5
84163988.0,11.84375,-80.5,83765624.0,11.890625,-81.25,84163210.0,11.8984375,-80.5
84164038.0,11.8359375,-80.5,83766074.0,11.8984375,-81.25,84163235.0,11.8984375,-80.4375
84164088.0,11.84375,-80.5,83766525.0,11.890625,-81.25,84163260.0,11.90625,-80.5
84164138.0,11.84375,-80.4375,83766975.0,11.8984375,-81.25,84163285.0,11.8984375,-80.5
84164188.0,11.84375,-80.4375,83767425.0,11.8984375,-81.1875,84163310.0,11.890625,-80.5
84164238.0,11.84375,-80.4375,83767875.0,11.9140625,-81.1875,84163335.0,11.8984375,-80.4375
84164288.0,11.8515625,-80.4375,83768325.0,11.90625,-81.25,84163360.0,11.90625,-80.5
84164338.0,11.84375,-80.4375,83768776.0,11.90625,-81.25,84163385.0,11.90625,-80.5
84164388.0,11.859375,-80.4375,83769226.0,11.8984375,-81.1875,84163410.0,11.8984375,-80.4375
84164438.0,11.8359375,-80.4375,83769676.0,11.90625,-81.1875,84163435.0,11.8984375,-80.5
84164488.0,11.84375,-80.4375,83770126.0,11.8984375,-81.1875,84163460.0,11.90625,-80.4375
