time,f_1,f_3,f_5,f_7,f_9,f_11,f_13,f_15,f_17,d_1,d_3,d_5,d_7,d_9,d_11,d_13,d_15,d_17
0,4968045,14862097,24766092,34669272,44573150,54476789,64380997,74284820,84189457,0.0011834491038856829,-8.903580857117525e-08,4.104448190720981e-06,5.040235936705011e-06,5.14178600096135e-06,6.037836724225894e-06,6.28706664968419e-06,6.541337485054156e-06,7.351734708927793e-06
1,4963045,14867345,24766094,34669272,44573149,54476785,64380997,74284826,84189463,0.0,-0.00025516626882771235,4.092986965893528e-06,-5.065414067276989e-06,5.12480596752222e-06,6.023976554661635e-06,6.247721127807738e-06,6.471469272906046e-06,7.212255806398861e-06
2,4964410,,,,,,,,,0.0008166300174181563,,,,,,,,
3,4965634,14869982,24766096,34669278,44573159,54476798,64381008,74284836,84189479,0.2462845333365099,-0.0025937450911089643,-4.088077731402523e-06,5.077058777368583e-06,5.121758357070677e-06,6.019956697995398e-06,6.234971349069792e-06,6.463248046902162e-06,7.203117344242768e-06
4,4961344,14874026,24766103,34669280,44573161,54476794,64381005,74284831,84189469,0.0,4.632406626276463e-06,4.085923470802551e-06,-5.073172664979003e-06,5.1205134274424596e-06,6.058019805165839e-06,6.240611487466318e-06,6.47479177533859e-06,7.233983639254055e-06
5,4964404,14874023,24766098,34669273,44573154,54476787,64380996,74284827,84189463,0.0008153627693538353,4.713542379644727e-06,4.0920648996410345e-06,-5.074655091869039e-06,5.121540377954156e-06,6.073623011771825e-06,6.243053130548731e-06,6.4737509453759175e-06,7.26757139419558e-06
6,4965630,14874022,24766097,34669275,44573153,54476787,64380995,74284818,84189460,0.2760591618632796,4.7458359293383e-06,4.08968465314276e-06,-5.074417216713937e-06,5.1181950174784995e-06,6.075014201361366e-06,6.244859522045169e-06,6.47507985459092e-06,7.255993838836868e-06
7,4961340,14874021,24766097,34669272,44573151,54476786,64380992,74284820,84189456,0.0,4.758170347260492e-06,4.096656320308972e-06,5.0748197456799956e-06,5.114499232936066e-06,6.038595585365188e-06,6.2501937123380694e-06,6.467863905025827e-06,7.2528429084266535e-06
8,4964400,14874021,24766097,34669274,44573151,54476782,64380994,74284822,84189460,0.0008138388414843182,4.759338459581968e-06,4.0973692880506275e-06,-5.072346870867297e-06,5.119645974492527e-06,6.0420540408150815e-06,6.243172041461132e-06,6.471755200880098e-06,7.248840367171368e-06
9,4965628,14874021,24766096,34669271,44573151,54476784,64380991,74284815,84189453,0.21450131094678718,4.778158525093166e-06,4.098368894848224e-06,-5.069284204898875e-06,5.112574897672373e-06,6.059517248377348e-06,6.250608700850533e-06,6.479094428056764e-06,7.238518227814172e-06
