time,f_1,f_3,f_5,f_7,f_9,f_11,f_13,f_15,f_17,d_1,d_3,d_5,d_7,d_9,d_11,d_13,d_15,d_17
0,4959350,14856833,24757655,34657396,44557880,54458041,64358662,74259126,84160246,0.0009320622366317495,1.8461349121921244e-05,1.8023419258241697e-05,1.7794551079205804e-05,1.4431069436935607e-05,1.1781660304952745e-05,1.1325221552659615e-05,9.289743258374735e-06,1.0067694867594584e-05
1,4959344,14856822,24757639,34657416,44557854,54458010,64358767,74259166,84160286,0.0008626065756715377,-1.7829159693498617e-05,1.8018561052108814e-05,1.8177489012023853e-05,1.4519293953288962e-05,1.1712692602809396e-05,1.1491860966095903e-05,9.250789070733561e-06,9.958456001892835e-06
2,4959349,14856872,24757684,34657436,44557929,54458040,64358802,74259206,84160406,0.000853337700323074,-1.937583980285401e-05,1.909757890109636e-05,1.816244793634724e-05,1.5487005677627523e-05,1.2132968749684685e-05,1.19286419661341e-05,9.11047966454918e-06,9.91210501191634e-06
3,4959343,14856922,24757668,34657415,44557903,54458009,64358766,74259246,84160365,0.0008576772213018823,-2.8850490078255128e-05,2.0282181589910314e-05,1.865910722422685e-05,1.6031310855863632e-05,1.211262919965996e-05,1.1912200913545907e-05,9.069594258734985e-06,9.89735110076383e-06
4,4959348,14856911,24757683,34657435,44557928,54458039,64358801,74259205,84160324,0.0008499337433230848,-3.0318218981166957e-05,1.8686776233735838e-05,1.666094089640246e-05,1.6153451690395013e-05,1.2043043074593917e-05,1.1941677675258957e-05,8.993339247760585e-06,9.812498806727905e-06
5,4959353,14856840,24757698,34657455,44557902,54458008,64358765,74259245,84160364,0.0008549902473434785,3.5575425676403385e-05,1.8164914226305056e-05,1.675404163416859e-05,1.6116587967755375e-05,1.2022776442131006e-05,1.1938869796101632e-05,9.012028481506575e-06,9.808631202237555e-06
6,4959347,14856850,24757682,34657475,44557927,54458038,64358800,74259204,84160404,0.0008608331280553996,3.7453453357725833e-05,1.8110922338098154e-05,1.8230836900646467e-05,1.6158308424401924e-05,1.1960260166585545e-05,1.1998954618309324e-05,9.000438007878863e-06,9.793547920506857e-06
7,4959352,14856860,24757727,34657454,44557901,54458007,64358764,74259244,84160363,0.0008532311972061714,3.821158263011981e-05,1.9003027871194116e-05,1.6298036775662016e-05,1.6125805130832863e-05,1.1929132968729566e-05,1.1954835666886782e-05,9.022857512001381e-06,9.812004452723785e-06
8,4959357,14856849,24757711,34657433,44557926,54457976,64358728,74259123,84160322,0.0008580681359939696,3.759007855538569e-05,1.9267909275436165e-05,1.685281896941141e-05,1.4580629121334656e-05,1.1960412512027284e-05,1.1671406233452539e-05,9.295653240055517e-06,9.916533716260424e-06
,,,,,,,,,,,,,,,,,,
