time,f_1,f_3,f_5,f_7,f_9,f_11,f_13,f_15,f_17,d_1,d_3,d_5,d_7,d_9,d_11,d_13,d_15,d_17
0,4961345,14862086,24766424,34669522,44573354,54476939,64381125,74284931,84189591,0.0,-3.0755230348683183e-07,-4.07303455909756e-06,4.992268994147971e-06,5.095114158624343e-06,5.92725160150046e-06,6.225744017583673e-06,6.478128264190408e-06,7.210317632988313e-06
1,4961342,14862097,24766429,34669503,44573331,54476947,64381155,74284987,84189653,0.0008139111399985556,0.00025393634263528035,4.074262869308126e-06,4.984667640451965e-06,5.097715306415495e-06,5.920496525551706e-06,6.219064691543463e-06,6.468234124288101e-06,7.198682255142701e-06
2,4961344,14862100,24766434,34669509,44573338,54476955,64381144,74284975,84189640,0.0,-0.00025460494833296973,4.074714860685139e-06,-4.991045378469584e-06,5.102504806060689e-06,5.911380474392011e-06,6.2251850997243305e-06,6.486187070128913e-06,7.209403901348592e-06
3,4961346,14862103,24766428,34669515,44573330,54476963,64381154,74284986,84189652,0.0008141721008604768,-0.0002544679586412539,4.085166112124763e-06,4.996499559315129e-06,5.096565021915367e-06,5.912887425492782e-06,6.22483138362403e-06,6.482313829979661e-06,7.217172596816168e-06
4,4961343,14862099,24766433,34669508,44573337,54476954,64381164,74284997,84189639,0.0008148569806055138,0.0002544141825292794,4.0807990570636505e-06,4.99334670567291e-06,5.097230725976336e-06,5.913945375123079e-06,6.227388832662368e-06,6.4778275035131745e-06,7.218727316254513e-06
5,4961340,14862102,24766427,34669514,44573344,54476962,64381153,74284985,84189626,0.0,-0.0002545164136260305,-4.086904863992138e-06,-5.002206389244126e-06,5.09401098498727e-06,5.919754538562971e-06,6.219286676067298e-06,6.479409826329312e-06,7.243416276634229e-06
6,4961342,14862098,24766432,34669507,44573336,54476953,64381163,74284996,84189638,0.0,0.00025511669294516766,4.087743457873278e-06,-5.0091738488767115e-06,5.0975553145255395e-06,5.922493425445469e-06,6.216916185432603e-06,6.478580078763209e-06,7.224529815190243e-06
7,4961344,14862101,24766426,34669513,44573343,54476961,64381152,74284984,84189650,0.0008132929539669668,-0.0002548275064623283,-4.08677734785914e-06,5.016839870788764e-06,5.100854804805112e-06,5.922701278650752e-06,6.226943643269783e-06,6.491150034641387e-06,7.219541562099871e-06
8,4961341,14862104,24766431,34669506,44573335,54476952,64381162,74284995,84189637,0.0008145410790384233,-0.0002548376220757998,4.0865629251298375e-06,5.02206283691887e-06,5.096517705020541e-06,5.920236760283613e-06,6.223248009938882e-06,6.488935633759628e-06,7.224454753047937e-06
9,4961343,14862100,24766436,34669512,44573342,54476960,64381151,74284983,84189649,0.0008128069848043927,0.0002551083767323161,-4.083973537319674e-06,-5.021288187661843e-06,5.1000938850418005e-06,5.921234727792371e-06,6.222395766725432e-06,6.492463141593017e-06,7.216992796662343e-06
