freq__2019-06-28_12-53-54_,rs__2019-06-28_12-53-54_,xs__2019-06-28_12-53-54_,freq__2019-06-28_13-04-33_,rs__2019-06-28_13-04-33_,xs__2019-06-28_13-04-33_
14854211.0,5.65234375,-407.75,14854211.0,5.28515625,-407.5
14854226.0,5.45703125,-407.5,14854226.0,5.34375,-407.5
14854241.0,5.73046875,-407.5,14854241.0,5.46484375,-407.5
14854256.0,5.7109375,-407.5,14854256.0,5.375,-407.25
14854271.0,5.71484375,-407.5,14854271.0,5.3046875,-407.5
14854286.0,5.6796875,-407.5,14854286.0,5.28125,-407.5
14854301.0,5.76953125,-407.25,14854301.0,5.3203125,-407.0
14854316.0,5.77734375,-407.25,14854316.0,5.52734375,-407.25
14854331.0,5.64453125,-407.25,14854331.0,5.546875,-407.25
14854346.0,5.578125,-407.0,14854346.0,5.31640625,-407.0
14854361.0,5.7421875,-407.0,14854361.0,5.51953125,-407.0
14854376.0,5.84765625,-407.0,14854376.0,5.52734375,-406.75
14854391.0,5.6796875,-406.75,14854391.0,5.62109375,-406.75
14854406.0,5.7109375,-406.75,14854406.0,5.62109375,-406.5
14854421.0,5.67578125,-406.75,14854421.0,5.51953125,-406.75
14854436.0,5.83984375,-406.5,14854436.0,5.55859375,-406.5
14854451.0,5.60546875,-406.5,14854451.0,5.48046875,-406.5
14854466.0,5.7265625,-406.5,14854466.0,5.4296875,-406.5
14854481.0,5.7421875,-406.5,14854481.0,5.453125,-406.25
14854496.0,5.7578125,-406.25,14854496.0,5.375,-406.25
14854511.0,5.94140625,-406.25,14854511.0,5.5625,-406.25
14854526.0,5.84375,-406.25,14854526.0,5.5,-406.25
14854541.0,5.62890625,-406.0,14854541.0,5.375,-406.0
14854556.0,5.86328125,-406.0,14854556.0,5.53125,-406.0
14854571.0,5.6484375,-406.0,14854571.0,5.6484375,-406.0
14854586.0,5.85546875,-405.75,14854586.0,5.78125,-405.75
14854601.0,5.84765625,-405.75,14854601.0,5.328125,-406.0
14854616.0,5.91796875,-405.75,14854616.0,5.50390625,-405.25
14854631.0,5.63671875,-405.5,14854631.0,5.68359375,-405.5
14854646.0,5.828125,-405.5,14854646.0,5.53515625,-405.5
14854661.0,6.0,-405.5,14854661.0,5.42578125,-405.25
14854676.0,5.78515625,-405.5,14854676.0,5.31640625,-405.5
14854691.0,5.6875,-405.5,14854691.0,5.5546875,-405.25
14854706.0,5.87890625,-405.25,14854706.0,5.57421875,-405.0
14854721.0,5.78125,-405.0,14854721.0,5.453125,-405.25
14854736.0,5.81640625,-405.0,14854736.0,5.5234375,-404.75
14854751.0,5.94140625,-405.0,14854751.0,5.4453125,-405.0
14854766.0,5.90234375,-404.75,14854766.0,5.5078125,-405.0
14854781.0,5.96875,-404.75,14854781.0,5.46875,-404.75
14854796.0,5.7578125,-404.5,14854796.0,5.51171875,-404.75
14854811.0,5.9609375,-404.75,14854811.0,5.49609375,-404.75
14854826.0,5.875,-404.75,14854826.0,5.5,-404.5
14854841.0,5.6328125,-404.5,14854841.0,5.52734375,-404.25
14854856.0,5.69921875,-404.25,14854856.0,5.54296875,-404.25
14854871.0,5.88671875,-404.25,14854871.0,5.61328125,-404.0
14854886.0,5.80078125,-404.25,14854886.0,5.625,-404.25
14854901.0,5.671875,-404.25,14854901.0,5.58203125,-404.25
14854916.0,5.859375,-404.0,14854916.0,5.39453125,-404.25
14854931.0,5.625,-404.0,14854931.0,5.41015625,-403.75
14854946.0,5.66796875,-403.75,14854946.0,5.7265625,-403.75
14854961.0,5.78515625,-404.0,14854961.0,5.52734375,-403.75
14854976.0,5.82421875,-403.75,14854976.0,5.37890625,-403.75
14854991.0,5.76953125,-403.5,14854991.0,5.390625,-403.5
14855006.0,5.7734375,-403.5,14855006.0,5.48828125,-403.75
14855021.0,5.75390625,-403.5,14855021.0,5.51171875,-403.5
14855036.0,5.83203125,-403.25,14855036.0,5.3671875,-403.25
14855051.0,5.71875,-403.25,14855051.0,5.50390625,-403.25
14855066.0,5.78515625,-403.0,14855066.0,5.515625,-403.0
14855081.0,5.94921875,-403.0,14855081.0,5.390625,-403.0
14855096.0,5.7578125,-403.0,14855096.0,5.55859375,-403.0
14855111.0,5.83203125,-402.75,14855111.0,5.5546875,-402.75
14855126.0,5.72265625,-402.75,14855126.0,5.5234375,-402.75
14855141.0,5.80078125,-402.75,14855141.0,5.4140625,-402.75
14855156.0,5.83203125,-402.5,14855156.0,5.48828125,-402.75
14855171.0,5.7265625,-402.5,14855171.0,5.49609375,-402.5
14855186.0,5.89453125,-402.5,14855186.0,5.49609375,-402.5
14855201.0,5.90234375,-402.5,14855201.0,5.484375,-402.25
14855217.0,5.828125,-402.25,14855217.0,5.49609375,-402.25
14855232.0,5.8359375,-402.25,14855232.0,5.5234375,-402.0
14855247.0,5.69140625,-402.25,14855247.0,5.51953125,-402.0
14855262.0,5.8203125,-402.0,14855262.0,5.58984375,-401.75
14855277.0,5.69140625,-402.0,14855277.0,5.4453125,-401.75
14855292.0,5.87890625,-401.75,14855292.0,5.53515625,-401.75
14855307.0,5.90234375,-401.75,14855307.0,5.65234375,-401.5
14855322.0,5.8671875,-401.5,14855322.0,5.4375,-401.75
14855337.0,5.79296875,-401.5,14855337.0,5.6484375,-401.25
14855352.0,5.7578125,-401.25,14855352.0,5.6015625,-401.25
14855367.0,5.70703125,-401.25,14855367.0,5.40625,-401.25
14855382.0,5.703125,-401.25,14855382.0,5.453125,-401.0
14855397.0,5.828125,-401.0,14855397.0,5.40234375,-401.0
14855412.0,5.80859375,-401.0,14855412.0,5.62890625,-401.0
14855427.0,5.74609375,-400.75,14855427.0,5.56640625,-400.75
14855442.0,5.94921875,-400.75,14855442.0,5.421875,-400.75
14855457.0,5.7265625,-400.5,14855457.0,5.6484375,-400.5
14855472.0,5.87890625,-400.5,14855472.0,5.62109375,-400.5
14855487.0,5.87109375,-400.5,14855487.0,5.58984375,-400.25
14855502.0,5.80859375,-400.5,14855502.0,5.48046875,-400.25
14855517.0,5.765625,-400.25,14855517.0,5.57421875,-400.25
14855532.0,5.7890625,-400.0,14855532.0,5.5859375,-400.25
14855547.0,5.75390625,-400.0,14855547.0,5.49609375,-399.75
14855562.0,5.62890625,-400.0,14855562.0,5.5078125,-399.75
14855577.0,5.73046875,-399.75,14855577.0,5.51953125,-399.75
14855592.0,5.83203125,-399.75,14855592.0,5.36328125,-399.5
14855607.0,5.66796875,-399.5,14855607.0,5.36328125,-399.5
14855622.0,5.76953125,-399.5,14855622.0,5.5703125,-399.25
14855637.0,5.84375,-399.25,14855637.0,5.43359375,-399.25
14855652.0,5.78515625,-399.25,14855652.0,5.51171875,-399.25
14855667.0,5.68359375,-399.25,14855667.0,5.62109375,-399.0
14855682.0,5.71484375,-399.0,14855682.0,5.60546875,-399.0
14855697.0,5.90234375,-399.0,14855697.0,5.61328125,-399.0
14855712.0,5.6875,-399.0,14855712.0,5.60546875,-398.75
14855727.0,5.63671875,-398.75,14855727.0,5.57421875,-398.75
14855742.0,5.69921875,-398.5,14855742.0,5.4453125,-398.75
14855757.0,5.9609375,-398.5,14855757.0,5.60546875,-398.5
14855772.0,5.703125,-398.25,14855772.0,5.5234375,-398.25
14855787.0,5.80078125,-398.25,14855787.0,5.46484375,-398.25
14855802.0,5.6796875,-398.0,14855802.0,5.56640625,-398.0
14855817.0,5.6015625,-397.75,14855817.0,5.4921875,-398.0
14855832.0,5.7578125,-398.0,14855832.0,5.64453125,-397.75
14855847.0,5.71484375,-397.75,14855847.0,5.5390625,-397.75
14855862.0,6.046875,-397.5,14855862.0,5.5625,-397.5
14855877.0,5.72265625,-397.5,14855877.0,5.515625,-397.5
14855892.0,5.73828125,-397.5,14855892.0,5.703125,-397.25
14855907.0,5.8125,-397.25,14855907.0,5.53125,-397.0
14855922.0,5.8984375,-397.25,14855922.0,5.59765625,-397.0
14855937.0,5.80859375,-397.0,14855937.0,5.5390625,-397.0
14855952.0,5.71484375,-396.75,14855952.0,5.609375,-396.75
14855967.0,5.76953125,-396.75,14855967.0,5.52734375,-396.75
14855982.0,5.734375,-396.75,14855982.0,5.484375,-396.75
14855997.0,5.60546875,-396.5,14855997.0,5.48046875,-396.25
14856012.0,5.80859375,-396.5,14856012.0,5.48828125,-396.5
14856027.0,5.7578125,-396.25,14856027.0,5.3671875,-396.25
14856042.0,5.859375,-396.25,14856042.0,5.55078125,-396.0
14856057.0,5.72265625,-396.0,14856057.0,5.5703125,-396.0
14856072.0,5.73828125,-395.75,14856072.0,5.5390625,-396.0
14856087.0,5.8359375,-395.75,14856087.0,5.69140625,-395.75
14856102.0,5.859375,-395.75,14856102.0,5.5546875,-395.5
14856117.0,5.6875,-395.25,14856117.0,5.51171875,-395.5
14856132.0,5.67578125,-395.5,14856132.0,5.6484375,-395.25
14856147.0,5.70703125,-395.25,14856147.0,5.5390625,-395.25
14856162.0,5.74609375,-395.25,14856162.0,5.55078125,-395.0
14856177.0,5.89453125,-395.0,14856177.0,5.5234375,-394.75
14856192.0,5.7109375,-394.75,14856192.0,5.4765625,-394.75
14856207.0,5.8046875,-394.5,14856207.0,5.49609375,-394.5
14856223.0,5.734375,-394.5,14856223.0,5.5390625,-394.5
14856238.0,5.82421875,-394.25,14856238.0,5.46875,-394.25
14856253.0,5.58203125,-394.25,14856253.0,5.5859375,-394.25
14856268.0,5.75390625,-394.0,14856268.0,5.45703125,-394.0
14856283.0,5.84375,-394.0,14856283.0,5.58984375,-393.75
14856298.0,5.625,-393.75,14856298.0,5.453125,-393.5
14856313.0,5.7890625,-393.75,14856313.0,5.703125,-393.75
14856328.0,5.8203125,-393.5,14856328.0,5.4921875,-393.5
14856343.0,5.7890625,-393.5,14856343.0,5.3515625,-393.5
14856358.0,5.765625,-393.25,14856358.0,5.4765625,-393.25
14856373.0,5.7421875,-393.25,14856373.0,5.4453125,-393.25
14856388.0,5.73046875,-392.75,14856388.0,5.44140625,-393.0
14856403.0,5.80078125,-392.75,14856403.0,5.44921875,-392.75
14856418.0,5.78125,-392.75,14856418.0,5.59765625,-392.75
14856433.0,5.75,-392.5,14856433.0,5.62890625,-392.5
14856448.0,5.83203125,-392.5,14856448.0,5.5546875,-392.5
14856463.0,5.87890625,-392.25,14856463.0,5.6171875,-392.0
14856478.0,5.734375,-392.0,14856478.0,5.43359375,-392.0
14856493.0,5.64453125,-392.0,14856493.0,5.68359375,-392.0
14856508.0,5.7109375,-391.75,14856508.0,5.625,-391.75
14856523.0,5.88671875,-391.75,14856523.0,5.4765625,-391.5
14856538.0,5.77734375,-391.5,14856538.0,5.3828125,-391.25
14856553.0,5.7421875,-391.25,14856553.0,5.5625,-391.25
14856568.0,5.828125,-391.0,14856568.0,5.52734375,-391.0
14856583.0,5.7578125,-391.0,14856583.0,5.36328125,-390.75
14856598.0,5.703125,-390.75,14856598.0,5.5,-390.75
14856613.0,5.58203125,-390.5,14856613.0,5.4375,-390.5
14856628.0,5.63671875,-390.5,14856628.0,5.51953125,-390.5
14856643.0,5.62890625,-390.25,14856643.0,5.40625,-390.25
14856658.0,5.7109375,-390.25,14856658.0,5.48828125,-390.25
14856673.0,5.7265625,-390.0,14856673.0,5.5546875,-390.0
14856688.0,5.6015625,-389.75,14856688.0,5.4765625,-389.75
14856703.0,5.76171875,-389.75,14856703.0,5.59375,-389.5
14856718.0,5.6328125,-389.5,14856718.0,5.5390625,-389.5
14856733.0,5.76171875,-389.25,14856733.0,5.53125,-389.5
14856748.0,5.72265625,-389.25,14856748.0,5.6484375,-389.0
14856763.0,5.72265625,-389.0,14856763.0,5.44921875,-389.0
14856778.0,5.5390625,-388.75,14856778.0,5.5,-388.75
14856793.0,5.57421875,-388.75,14856793.0,5.53515625,-388.5
14856808.0,5.78515625,-388.5,14856808.0,5.52734375,-388.5
14856823.0,5.4765625,-388.25,14856823.0,5.48828125,-388.25
14856838.0,5.609375,-388.25,14856838.0,5.5546875,-388.0
14856853.0,5.79296875,-388.0,14856853.0,5.50390625,-388.0
14856868.0,5.578125,-387.75,14856868.0,5.49609375,-387.75
14856883.0,5.6640625,-387.5,14856883.0,5.5234375,-387.5
14856898.0,5.8203125,-387.5,14856898.0,5.32421875,-387.25
14856913.0,5.66015625,-387.25,14856913.0,5.56640625,-387.0
14856928.0,5.79296875,-387.0,14856928.0,5.5625,-387.0
14856943.0,5.76171875,-387.0,14856943.0,5.45703125,-386.75
14856958.0,5.7421875,-386.75,14856958.0,5.39453125,-386.5
14856973.0,5.60546875,-386.5,14856973.0,5.43359375,-386.5
14856988.0,5.765625,-386.5,14856988.0,5.4140625,-386.25
