freq__2019-06-27_16-18-43_,rs__2019-06-27_16-18-43_,xs__2019-06-27_16-18-43_
24757984.0,7.1796875,-257.25
24757994.0,7.1484375,-257.25
24758004.0,7.140625,-257.25
24758014.0,7.078125,-257.25
24758024.0,7.09375,-257.0
24758034.0,7.0703125,-257.25
24758044.0,7.125,-257.25
24758054.0,7.08203125,-257.0
24758064.0,7.05859375,-257.0
24758074.0,7.1015625,-257.0
24758084.0,7.1328125,-257.0
24758095.0,7.09375,-257.0
24758105.0,7.17578125,-257.0
24758115.0,7.1484375,-257.0
24758125.0,7.1484375,-257.0
24758135.0,7.15625,-257.0
24758145.0,7.1171875,-257.0
24758155.0,7.12109375,-257.0
24758165.0,6.9765625,-257.0
24758175.0,7.09375,-257.0
24758185.0,7.08984375,-257.0
24758195.0,7.125,-257.0
24758205.0,7.1171875,-257.0
24758215.0,7.16015625,-257.0
24758225.0,7.0390625,-257.0
24758235.0,7.13671875,-257.0
24758245.0,7.12109375,-257.0
24758255.0,7.1171875,-256.75
24758265.0,7.16796875,-256.75
24758275.0,7.09765625,-257.0
24758285.0,7.0703125,-256.75
24758295.0,7.1015625,-257.0
24758305.0,7.12109375,-256.75
24758315.0,7.00390625,-256.75
24758325.0,7.1796875,-256.75
24758335.0,7.15234375,-256.75
24758345.0,7.0625,-256.75
24758355.0,7.09375,-256.75
24758365.0,7.12109375,-256.75
24758375.0,7.0703125,-256.75
24758385.0,7.171875,-256.75
24758395.0,7.06640625,-256.75
24758405.0,7.03125,-256.75
24758415.0,7.11328125,-256.75
24758425.0,7.0546875,-256.75
24758435.0,7.0859375,-256.75
24758445.0,7.06640625,-256.5
24758455.0,7.0703125,-256.75
24758465.0,7.08984375,-256.75
24758475.0,7.14453125,-256.5
24758485.0,7.10546875,-256.5
24758495.0,7.140625,-256.5
24758505.0,7.14453125,-256.5
24758515.0,7.17578125,-256.5
24758525.0,7.125,-256.5
24758535.0,7.15625,-256.5
24758545.0,7.16015625,-256.5
24758555.0,7.18359375,-256.5
24758565.0,7.09765625,-256.5
24758575.0,7.140625,-256.5
24758585.0,7.08984375,-256.5
24758595.0,7.0703125,-256.5
24758605.0,7.1796875,-256.5
24758615.0,7.15625,-256.5
24758625.0,7.0859375,-256.5
24758635.0,7.11328125,-256.5
24758645.0,7.0859375,-256.5
24758655.0,7.125,-256.25
24758665.0,7.16796875,-256.25
24758675.0,7.10546875,-256.25
24758685.0,7.10546875,-256.25
24758695.0,7.125,-256.25
24758705.0,7.125,-256.25
24758715.0,7.1171875,-256.25
24758725.0,7.12109375,-256.25
24758735.0,7.05859375,-256.25
24758745.0,7.11328125,-256.25
24758755.0,7.16796875,-256.25
24758765.0,7.1328125,-256.25
24758775.0,7.078125,-256.25
24758785.0,7.171875,-256.25
24758795.0,7.1171875,-256.25
24758805.0,7.10546875,-256.25
24758815.0,7.09765625,-256.0
24758825.0,7.06640625,-256.25
24758835.0,7.0546875,-256.25
24758845.0,7.1484375,-256.0
24758855.0,7.1015625,-256.0
24758865.0,7.09765625,-256.0
24758875.0,7.1015625,-256.0
24758885.0,7.06640625,-256.0
24758895.0,7.19140625,-256.0
24758905.0,7.1171875,-256.0
24758915.0,7.16015625,-256.0
24758925.0,7.16015625,-256.0
24758935.0,7.1875,-256.0
24758945.0,7.078125,-256.0
24758955.0,7.125,-256.0
24758965.0,7.1328125,-256.0
24758975.0,7.109375,-255.875
24758985.0,7.11328125,-255.875
24758995.0,7.125,-255.875
24759005.0,7.1171875,-255.875
24759015.0,7.1015625,-255.875
24759025.0,7.13671875,-255.875
24759035.0,7.05859375,-255.875
24759045.0,7.13671875,-255.875
24759055.0,7.17578125,-255.75
24759065.0,7.1796875,-255.75
24759075.0,7.15234375,-255.75
24759085.0,7.07421875,-255.625
24759095.0,7.03515625,-255.75
24759105.0,7.140625,-255.75
24759115.0,7.0859375,-255.75
24759125.0,7.078125,-255.625
24759135.0,7.0546875,-255.75
24759145.0,7.13671875,-255.75
24759155.0,7.08984375,-255.625
24759165.0,7.18359375,-255.625
24759175.0,7.12109375,-255.75
24759185.0,7.171875,-255.625
24759195.0,7.10546875,-255.5
24759205.0,7.17578125,-255.625
24759215.0,7.203125,-255.5
24759225.0,7.16796875,-255.625
24759235.0,7.1015625,-255.5
24759245.0,7.1171875,-255.5
24759255.0,7.1796875,-255.5
24759265.0,7.20703125,-255.5
24759275.0,7.1875,-255.375
24759285.0,7.078125,-255.375
24759295.0,7.1171875,-255.375
24759305.0,7.25,-255.375
24759315.0,7.15625,-255.375
24759325.0,7.09375,-255.375
24759335.0,7.17578125,-255.25
24759345.0,7.1875,-255.375
24759355.0,7.125,-255.375
24759365.0,7.12109375,-255.25
24759375.0,7.05859375,-255.375
24759385.0,7.17578125,-255.375
24759395.0,7.13671875,-255.25
24759405.0,7.16015625,-255.25
24759415.0,7.08203125,-255.25
24759425.0,7.0625,-255.125
24759435.0,7.1015625,-255.125
24759445.0,7.0234375,-255.25
24759455.0,7.140625,-255.25
24759465.0,7.1640625,-255.125
24759475.0,7.14453125,-255.125
24759485.0,7.19921875,-255.125
24759495.0,7.13671875,-255.0
24759505.0,7.13671875,-255.125
24759515.0,7.078125,-255.0
24759525.0,7.203125,-255.0
24759535.0,7.140625,-255.0
24759545.0,7.17578125,-255.0
24759555.0,7.125,-255.0
24759565.0,7.19921875,-255.0
24759575.0,7.22265625,-255.0
24759585.0,7.1484375,-254.875
24759595.0,7.1796875,-254.875
24759605.0,7.07421875,-254.875
24759615.0,7.14453125,-254.875
24759625.0,7.1484375,-254.75
24759635.0,7.08984375,-254.75
24759645.0,7.11328125,-254.875
24759655.0,7.17578125,-254.75
24759665.0,7.1953125,-254.75
24759675.0,7.15234375,-254.875
24759685.0,7.08984375,-254.75
24759695.0,7.203125,-254.75
24759705.0,7.12109375,-254.75
24759715.0,7.171875,-254.625
24759725.0,7.14453125,-254.75
24759735.0,7.1875,-254.5
24759745.0,7.19140625,-254.625
24759755.0,7.1640625,-254.5
24759765.0,7.2109375,-254.625
24759775.0,7.16796875,-254.5
24759785.0,7.07421875,-254.5
24759795.0,7.1953125,-254.5
24759805.0,7.0859375,-254.5
24759815.0,7.13671875,-254.5
24759825.0,7.1171875,-254.5
24759835.0,7.109375,-254.5
24759845.0,7.1796875,-254.375
24759855.0,7.06640625,-254.375
24759865.0,7.1328125,-254.375
24759875.0,7.08984375,-254.375
24759885.0,7.14453125,-254.375
24759895.0,7.1484375,-254.25
