time,f_1,f_3,f_5,f_7,f_9,f_11,f_13,f_15,f_17,d_1,d_3,d_5,d_7,d_9,d_11,d_13,d_15,d_17
0,4961240,14861257,24765616,34668845,44572288,54475833,64379827,74283442,84187912,0.0,-4.126527561813037e-06,4.993438973568476e-06,0.0,4.359802360064244e-06,0.0,0.0,6.207163911559741e-06,6.7484533298258235e-06
1,4961273,14861807,24765635,34668659,44572413,54475750,64379784,74283461,84187936,-9.325147591389529e-07,0.0,-3.6548976715532104e-06,4.636685820142617e-06,0.0,-6.271878683372089e-06,6.936528763385214e-06,6.2239211023043935e-06,7.0498686992196e-06
2,4961247,14861264,24765641,34668666,44572307,54475774,64379800,74283477,84187952,0.0,4.288851857986869e-06,3.932188890126815e-06,4.7617207279059254e-06,5.35560055852485e-06,4.912203803711401e-06,5.942860457519761e-06,6.279088488681865e-06,7.1599271935639254e-06
3,4961276,14861814,24765646,34668674,44572432,54475787,64379815,74283493,84187971,-1.3473146548715347e-06,0.0,-3.9429040965228925e-06,4.7457784987514835e-06,0.0,5.120389919947013e-06,5.9728501146946425e-06,6.269447131441349e-06,7.115343170955068e-06
4,4961250,14861270,24765651,34668680,44572323,54475796,64379824,74283503,84187981,0.0,4.2662928878342405e-06,-3.951448800414111e-06,4.784866582535143e-06,5.317312265454143e-06,5.210445004472825e-06,6.089786533189278e-06,6.388422275609854e-06,7.23642243719912e-06
5,4961288,14861820,24765654,34668685,44572448,54475804,64379833,74283514,84187993,-2.073357846156449e-06,0.0,-3.98840197518622e-06,4.7933808379106455e-06,0.0,5.22808256649287e-06,6.066226553271637e-06,6.37818042465422e-06,7.193990431693055e-06
6,4961262,14861274,24765657,34668688,44572334,54475809,64379839,74283521,84188001,0.0,4.213442606026568e-06,-4.003031646986767e-06,4.833630555937226e-06,5.245906036031006e-06,5.29604087995762e-06,6.08735019606616e-06,6.441537645449401e-06,7.269254737710097e-06
7,4961305,14861824,24765659,34668692,44572459,54475816,64379847,74283529,84188009,-8.797022696953481e-07,0.0,4.012993739212494e-06,4.821078706551202e-06,0.0,5.258623711587769e-06,6.066144106908832e-06,6.428604893850853e-06,7.255923398023881e-06
8,4961283,14861276,24765661,34668695,44572342,54475819,64379850,74283533,84188012,-4.6848896014219086e-07,4.174957980001597e-06,4.01345217417604e-06,4.8604572404477266e-06,5.206275549134391e-06,5.323403407166738e-06,6.143995976230947e-06,6.525319909018904e-06,7.330185346840187e-06
9,4961257,14861826,24765663,34668697,44572467,54475823,64379855,74283538,84188018,0.0,0.0,-4.0453627010828385e-06,4.876946850347765e-06,0.0,5.3214077004416175e-06,6.114960063954737e-06,6.473212524406263e-06,7.269065330298993e-06
