freq__2019-06-28_12-53-54_,rs__2019-06-28_12-53-54_,xs__2019-06-28_12-53-54_,freq__2019-06-28_13-04-33_,rs__2019-06-28_13-04-33_,xs__2019-06-28_13-04-33_
44595630.0,10.2890625,-149.25,44595630.0,10.25,-149.25
44595660.0,10.34375,-149.125,44595660.0,10.3046875,-149.125
44595690.0,10.390625,-149.0,44595690.0,10.328125,-149.0
44595720.0,10.4296875,-148.75,44595720.0,10.3671875,-148.875
44595750.0,10.4609375,-148.625,44595750.0,10.4140625,-148.625
44595780.0,10.53125,-148.5,44595780.0,10.4765625,-148.5
44595810.0,10.609375,-148.25,44595810.0,10.5390625,-148.25
44595840.0,10.6875,-148.0,44595840.0,10.609375,-148.0
44595870.0,10.7734375,-147.75,44595870.0,10.6875,-147.75
44595900.0,10.8828125,-147.5,44595900.0,10.8203125,-147.5
44595930.0,11.0078125,-147.125,44595930.0,10.96875,-147.25
44595960.0,11.203125,-146.75,44595960.0,11.1328125,-146.875
44595990.0,11.3984375,-146.375,44595990.0,11.3359375,-146.5
44596020.0,11.65625,-146.0,44596020.0,11.578125,-146.0
44596050.0,11.9609375,-145.375,44596050.0,11.8984375,-145.5
44596080.0,12.390625,-144.875,44596080.0,12.3359375,-144.875
44596110.0,12.9609375,-144.125,44596110.0,12.84375,-144.25
44596141.0,13.6953125,-143.375,44596141.0,13.6015625,-143.5
44596171.0,14.7109375,-142.5,44596171.0,14.625,-142.75
44596201.0,16.21875,-141.625,44596201.0,16.078125,-141.75
44596231.0,18.296875,-140.75,44596231.0,18.109375,-141.0
44596261.0,21.21875,-140.375,44596261.0,20.921875,-140.5
44596291.0,24.984375,-140.875,44596291.0,24.53125,-141.0
44596321.0,29.25,-143.25,44596321.0,28.734375,-143.125
44596351.0,32.625,-148.125,44596351.0,32.125,-147.75
44596381.0,33.03125,-154.625,44596381.0,32.875,-154.125
44596411.0,30.078125,-160.0,44596411.0,30.25,-159.625
44596441.0,25.796875,-162.75,44596441.0,26.09375,-162.5
44596471.0,22.046875,-163.5,44596471.0,22.28125,-163.375
44596501.0,19.21875,-163.125,44596501.0,19.390625,-163.125
44596531.0,17.171875,-162.5,44596531.0,17.34375,-162.625
44596561.0,15.6875,-161.75,44596561.0,15.8203125,-161.75
44596591.0,14.6484375,-161.0,44596591.0,14.671875,-161.125
44596621.0,13.7890625,-160.375,44596621.0,13.828125,-160.375
44596651.0,13.1796875,-159.75,44596651.0,13.1875,-159.75
44596681.0,12.7109375,-159.25,44596681.0,12.671875,-159.375
44596711.0,12.3359375,-158.75,44596711.0,12.265625,-158.75
44596741.0,12.015625,-158.25,44596741.0,11.96875,-158.375
44596771.0,11.78125,-158.0,44596771.0,11.7421875,-158.0
44596801.0,11.5546875,-157.625,44596801.0,11.5390625,-157.625
44596831.0,11.375,-157.25,44596831.0,11.3671875,-157.375
44596861.0,11.2421875,-157.0,44596861.0,11.203125,-157.125
44596891.0,11.1484375,-156.75,44596891.0,11.109375,-156.875
44596921.0,11.046875,-156.5,44596921.0,10.984375,-156.625
44596951.0,10.9375,-156.375,44596951.0,10.8828125,-156.375
44596981.0,10.8984375,-156.125,44596981.0,10.8046875,-156.25
44597011.0,10.8046875,-156.0,44597011.0,10.765625,-156.0
44597041.0,10.7578125,-155.875,44597041.0,10.671875,-155.875
44597071.0,10.6953125,-155.75,44597071.0,10.6171875,-155.75
44597101.0,10.640625,-155.625,44597101.0,10.6015625,-155.625
44597131.0,10.59375,-155.5,44597131.0,10.5234375,-155.5
44597162.0,10.59375,-155.375,44597162.0,10.5,-155.375
44597192.0,10.53125,-155.25,44597192.0,10.453125,-155.25
44597222.0,10.5234375,-155.125,44597222.0,10.4375,-155.125
44597252.0,10.4921875,-155.0,44597252.0,10.40625,-155.125
44597282.0,10.453125,-155.0,44597282.0,10.3984375,-155.0
44597312.0,10.40625,-154.875,44597312.0,10.390625,-154.875
44597342.0,10.390625,-154.75,44597342.0,10.375,-154.875
44597372.0,10.3828125,-154.75,44597372.0,10.3125,-154.75
44597402.0,10.3828125,-154.625,44597402.0,10.3203125,-154.75
44597432.0,10.375,-154.625,44597432.0,10.2890625,-154.625
44597462.0,10.3203125,-154.5,44597462.0,10.265625,-154.5
44597492.0,10.34375,-154.5,44597492.0,10.265625,-154.5
44597522.0,10.3359375,-154.375,44597522.0,10.265625,-154.375
44597552.0,10.3125,-154.375,44597552.0,10.21875,-154.375
44597582.0,10.2734375,-154.25,44597582.0,10.234375,-154.375
44597612.0,10.296875,-154.25,44597612.0,10.203125,-154.25
44597642.0,10.3046875,-154.25,44597642.0,10.2109375,-154.25
44597672.0,10.265625,-154.125,44597672.0,10.1796875,-154.25
44597702.0,10.25,-154.125,44597702.0,10.1796875,-154.125
44597732.0,10.21875,-154.0,44597732.0,10.1875,-154.125
44597762.0,10.25,-154.0,44597762.0,10.1796875,-154.125
44597792.0,10.234375,-154.0,44597792.0,10.1953125,-154.0
44597822.0,10.2421875,-154.0,44597822.0,10.1640625,-154.0
44597852.0,10.21875,-153.875,44597852.0,10.15625,-154.0
44597882.0,10.2109375,-153.875,44597882.0,10.1484375,-153.875
44597912.0,10.203125,-153.875,44597912.0,10.15625,-153.875
44597942.0,10.2109375,-153.875,44597942.0,10.1484375,-153.875
