freq__2019-06-28_13-14-55_,rs__2019-06-28_13-14-55_,xs__2019-06-28_13-14-55_,freq__2019-06-28_13-20-55_,rs__2019-06-28_13-20-55_,xs__2019-06-28_13-20-55_,freq__2019-06-28_15-53-41_,rs__2019-06-28_15-53-41_,xs__2019-06-28_15-53-41_
34671834.0,9.578125,-203.625,34484146.0,8.5078125,-193.5,34655537.0,8.84375,-189.25
34671859.0,9.5546875,-203.5,34484346.0,8.5078125,-193.5,34655549.0,8.8671875,-189.25
34671884.0,9.5703125,-203.5,34484546.0,8.5546875,-193.5,34655562.0,8.8828125,-189.25
34671909.0,9.578125,-203.375,34484746.0,8.5546875,-193.5,34655574.0,8.8984375,-189.25
34671934.0,9.6171875,-203.375,34484946.0,8.578125,-193.5,34655587.0,8.8984375,-189.25
34671959.0,9.5703125,-203.25,34485146.0,8.5546875,-193.5,34655599.0,8.9140625,-189.25
34671984.0,9.53125,-203.25,34485346.0,8.546875,-193.5,34655612.0,8.921875,-189.25
34672009.0,9.53125,-203.125,34485546.0,8.5703125,-193.5,34655624.0,8.90625,-189.25
34672034.0,9.53125,-203.0,34485746.0,8.59375,-193.5,34655637.0,8.9296875,-189.25
34672059.0,9.5703125,-203.0,34485946.0,8.5859375,-193.5,34655649.0,8.9453125,-189.25
34672084.0,9.578125,-203.0,34486147.0,8.578125,-193.5,34655662.0,8.9296875,-189.25
34672109.0,9.578125,-202.875,34486347.0,8.5546875,-193.5,34655674.0,8.9296875,-189.25
34672134.0,9.5546875,-202.75,34486547.0,8.5859375,-193.375,34655687.0,8.9296875,-189.25
34672159.0,9.5234375,-202.75,34486747.0,8.6015625,-193.375,34655699.0,8.9375,-189.25
34672184.0,9.546875,-202.625,34486947.0,8.609375,-193.5,34655712.0,8.90625,-189.25
34672209.0,9.5546875,-202.5,34487147.0,8.6015625,-193.5,34655724.0,8.953125,-189.125
34672234.0,9.5390625,-202.5,34487347.0,8.609375,-193.5,34655737.0,8.9453125,-189.125
34672259.0,9.5390625,-202.5,34487547.0,8.625,-193.5,34655749.0,8.9453125,-189.125
34672284.0,9.5078125,-202.375,34487747.0,8.6015625,-193.5,34655762.0,8.9375,-189.125
34672309.0,9.4921875,-202.375,34487947.0,8.5859375,-193.5,34655774.0,8.9140625,-189.25
