freq__2019-06-27_14-33-42_,rs__2019-06-27_14-33-42_,xs__2019-06-27_14-33-42_,freq__2019-06-27_14-41-42_,rs__2019-06-27_14-41-42_,xs__2019-06-27_14-41-42_,freq__2019-06-27_14-56-42_,rs__2019-06-27_14-56-42_,xs__2019-06-27_14-56-42_,freq__2019-06-27_15-03-26_,rs__2019-06-27_15-03-26_,xs__2019-06-27_15-03-26_,freq__2019-06-27_15-10-12_,rs__2019-06-27_15-10-12_,xs__2019-06-27_15-10-12_,freq__2019-06-27_15-16-58_,rs__2019-06-27_15-16-58_,xs__2019-06-27_15-16-58_,freq__2019-06-27_15-23-44_,rs__2019-06-27_15-23-44_,xs__2019-06-27_15-23-44_,freq__2019-06-27_15-30-28_,rs__2019-06-27_15-30-28_,xs__2019-06-27_15-30-28_,freq__2019-06-27_15-37-14_,rs__2019-06-27_15-37-14_,xs__2019-06-27_15-37-14_,freq__2019-06-27_15-44-02_,rs__2019-06-27_15-44-02_,xs__2019-06-27_15-44-02_,freq__2019-06-27_15-50-48_,rs__2019-06-27_15-50-48_,xs__2019-06-27_15-50-48_,freq__2019-06-27_15-57-32_,rs__2019-06-27_15-57-32_,xs__2019-06-27_15-57-32_,freq__2019-06-27_16-04-18_,rs__2019-06-27_16-04-18_,xs__2019-06-27_16-04-18_
64361190.0,11.21875,-104.875,64361217.0,11.140625,-104.875,64361217.0,11.0078125,-104.875,64361228.0,11.0,-104.875,64361225.0,10.9765625,-104.875,64361216.0,10.9765625,-104.875,64361215.0,10.9765625,-104.875,64361212.0,10.9453125,-104.875,64361214.0,10.9296875,-104.875,64361211.0,10.9296875,-104.875,64361212.0,10.9375,-104.875,64361214.0,10.921875,-104.875,64361214.0,10.921875,-104.875
64361230.0,11.2265625,-104.875,64361237.0,11.1640625,-104.875,64361237.0,11.0,-104.875,64361248.0,11.015625,-104.8125,64361245.0,10.984375,-104.875,64361236.0,10.9609375,-104.875,64361235.0,10.9453125,-104.875,64361232.0,10.984375,-104.875,64361234.0,10.9453125,-104.875,64361231.0,10.9453125,-104.875,64361232.0,10.9375,-104.875,64361234.0,10.921875,-104.875,64361234.0,10.90625,-104.875
64361270.0,11.21875,-104.875,64361257.0,11.1328125,-104.875,64361257.0,11.0078125,-104.875,64361268.0,10.984375,-104.875,64361265.0,10.9921875,-104.875,64361256.0,10.9765625,-104.875,64361255.0,10.9453125,-104.875,64361252.0,10.953125,-104.875,64361254.0,10.9453125,-104.875,64361251.0,10.9453125,-104.875,64361252.0,10.921875,-104.875,64361254.0,10.921875,-104.875,64361254.0,10.90625,-104.875
64361310.0,11.2109375,-104.875,64361277.0,11.140625,-104.875,64361277.0,11.0,-104.875,64361288.0,10.984375,-104.875,64361285.0,11.0,-104.875,64361276.0,10.9765625,-104.875,64361275.0,10.9765625,-104.875,64361272.0,10.9609375,-104.875,64361274.0,10.96875,-104.875,64361271.0,10.953125,-104.875,64361272.0,10.9375,-104.875,64361274.0,10.9140625,-104.875,64361274.0,10.90625,-104.875
64361350.0,11.2109375,-104.875,64361297.0,11.109375,-104.875,64361297.0,11.0234375,-104.8125,64361308.0,10.9921875,-104.875,64361305.0,10.984375,-104.875,64361296.0,10.96875,-104.8125,64361295.0,10.953125,-104.875,64361292.0,10.953125,-104.875,64361294.0,10.9375,-104.875,64361291.0,10.9453125,-104.875,64361292.0,10.9140625,-104.875,64361294.0,10.9375,-104.875,64361294.0,10.921875,-104.875
64361390.0,11.2265625,-104.8125,64361317.0,11.1328125,-104.875,64361317.0,11.015625,-104.875,64361328.0,11.0078125,-104.875,64361325.0,10.984375,-104.875,64361316.0,10.984375,-104.875,64361315.0,10.9453125,-104.875,64361312.0,10.96875,-104.875,64361314.0,10.9453125,-104.875,64361311.0,10.9375,-104.875,64361312.0,10.921875,-104.875,64361314.0,10.9375,-104.875,64361314.0,10.921875,-104.875
64361430.0,11.2265625,-104.875,64361337.0,11.125,-104.875,64361337.0,11.015625,-104.8125,64361348.0,11.015625,-104.875,64361345.0,11.0078125,-104.875,64361336.0,10.9765625,-104.875,64361335.0,10.953125,-104.875,64361332.0,10.96875,-104.875,64361334.0,10.9453125,-104.875,64361331.0,10.9375,-104.875,64361332.0,10.921875,-104.875,64361334.0,10.921875,-104.875,64361334.0,10.9140625,-104.875
64361470.0,11.2265625,-104.875,64361357.0,11.1328125,-104.875,64361357.0,11.015625,-104.875,64361368.0,11.0234375,-104.875,64361365.0,10.984375,-104.875,64361356.0,10.984375,-104.875,64361355.0,10.9375,-104.875,64361352.0,10.9609375,-104.875,64361354.0,10.9453125,-104.875,64361351.0,10.9296875,-104.875,64361352.0,10.9375,-104.875,64361354.0,10.921875,-104.875,64361354.0,10.90625,-104.875
64361510.0,11.2265625,-104.8125,64361377.0,11.1171875,-104.875,64361377.0,11.0234375,-104.875,64361388.0,11.015625,-104.875,64361385.0,11.015625,-104.875,64361376.0,10.953125,-104.875,64361375.0,10.9765625,-104.875,64361372.0,10.953125,-104.875,64361374.0,10.9375,-104.875,64361371.0,10.9296875,-104.875,64361372.0,10.9296875,-104.875,64361374.0,10.9296875,-104.875,64361374.0,10.9453125,-104.875
64361550.0,11.234375,-104.8125,64361397.0,11.1171875,-104.875,64361397.0,11.0,-104.8125,64361408.0,11.015625,-104.875,64361405.0,11.015625,-104.875,64361396.0,10.984375,-104.8125,64361395.0,10.9609375,-104.875,64361392.0,10.9453125,-104.875,64361394.0,10.9453125,-104.875,64361391.0,10.9453125,-104.875,64361392.0,10.953125,-104.875,64361394.0,10.9296875,-104.875,64361394.0,10.921875,-104.875
64361590.0,11.2265625,-104.875,64361417.0,11.125,-104.875,64361417.0,11.0234375,-104.875,64361428.0,11.015625,-104.875,64361425.0,10.9765625,-104.875,64361416.0,10.96875,-104.875,64361415.0,10.96875,-104.875,64361412.0,10.9609375,-104.875,64361414.0,10.9296875,-104.875,64361411.0,10.9375,-104.875,64361412.0,10.9375,-104.875,64361414.0,10.921875,-104.875,64361414.0,10.921875,-104.875
64361630.0,11.2421875,-104.8125,64361437.0,11.140625,-104.875,64361437.0,11.0078125,-104.875,64361448.0,11.0390625,-104.875,64361445.0,10.9765625,-104.875,64361436.0,10.984375,-104.875,64361435.0,10.9609375,-104.875,64361432.0,10.9375,-104.875,64361434.0,10.9609375,-104.875,64361431.0,10.9375,-104.875,64361432.0,10.921875,-104.875,64361434.0,10.921875,-104.875,64361434.0,10.921875,-104.875
64361670.0,11.21875,-104.8125,64361457.0,11.140625,-104.875,64361457.0,11.03125,-104.875,64361468.0,10.984375,-104.875,64361465.0,11.0,-104.875,64361456.0,11.0078125,-104.875,64361455.0,10.953125,-104.875,64361452.0,10.953125,-104.875,64361454.0,10.9453125,-104.875,64361451.0,10.9375,-104.875,64361452.0,10.9375,-104.875,64361454.0,10.90625,-104.875,64361454.0,10.921875,-104.875
64361710.0,11.234375,-104.8125,64361477.0,11.1328125,-104.875,64361477.0,11.0,-104.875,64361488.0,11.03125,-104.8125,64361485.0,10.9921875,-104.875,64361476.0,10.9921875,-104.875,64361475.0,10.9765625,-104.875,64361472.0,10.9765625,-104.875,64361474.0,10.9375,-104.875,64361471.0,10.9375,-104.875,64361472.0,10.9453125,-104.875,64361474.0,10.9453125,-104.875,64361474.0,10.9296875,-104.875
64361750.0,11.25,-104.8125,64361497.0,11.171875,-104.875,64361497.0,11.0078125,-104.8125,64361508.0,11.03125,-104.875,64361505.0,11.015625,-104.875,64361496.0,10.9765625,-104.875,64361495.0,10.984375,-104.875,64361492.0,10.96875,-104.875,64361494.0,10.9609375,-104.875,64361491.0,10.9375,-104.875,64361492.0,10.9375,-104.875,64361494.0,10.9296875,-104.875,64361494.0,10.9375,-104.875
