freq__2019-06-27_14-33-42_,rs__2019-06-27_14-33-42_,xs__2019-06-27_14-33-42_,freq__2019-06-27_14-41-42_,rs__2019-06-27_14-41-42_,xs__2019-06-27_14-41-42_,freq__2019-06-27_14-56-42_,rs__2019-06-27_14-56-42_,xs__2019-06-27_14-56-42_,freq__2019-06-27_15-03-26_,rs__2019-06-27_15-03-26_,xs__2019-06-27_15-03-26_,freq__2019-06-27_15-10-12_,rs__2019-06-27_15-10-12_,xs__2019-06-27_15-10-12_,freq__2019-06-27_15-16-58_,rs__2019-06-27_15-16-58_,xs__2019-06-27_15-16-58_,freq__2019-06-27_15-23-44_,rs__2019-06-27_15-23-44_,xs__2019-06-27_15-23-44_,freq__2019-06-27_15-30-28_,rs__2019-06-27_15-30-28_,xs__2019-06-27_15-30-28_,freq__2019-06-27_15-37-14_,rs__2019-06-27_15-37-14_,xs__2019-06-27_15-37-14_,freq__2019-06-27_15-44-02_,rs__2019-06-27_15-44-02_,xs__2019-06-27_15-44-02_,freq__2019-06-27_15-50-48_,rs__2019-06-27_15-50-48_,xs__2019-06-27_15-50-48_,freq__2019-06-27_15-57-32_,rs__2019-06-27_15-57-32_,xs__2019-06-27_15-57-32_,freq__2019-06-27_16-04-18_,rs__2019-06-27_16-04-18_,xs__2019-06-27_16-04-18_,freq__2019-06-27_16-11-04_,rs__2019-06-27_16-11-04_,xs__2019-06-27_16-11-04_
24746716.0,8.203125,-263.5,24756192.0,7.609375,-259.25,24756194.0,6.74609375,-258.75,24756196.0,7.109375,-259.0,24756203.0,7.11328125,-259.0,24756198.0,7.1796875,-259.0,24756197.0,7.078125,-259.0,24756197.0,7.13671875,-259.0,24756197.0,7.14453125,-259.0,24756196.0,7.05859375,-259.0,24756194.0,7.07421875,-259.0,24756194.0,7.04296875,-259.0,24756196.0,7.109375,-258.75,24756195.0,6.9765625,-259.0
24746736.0,8.1796875,-263.5,24756202.0,7.6328125,-259.25,24756204.0,6.69921875,-258.75,24756206.0,7.15625,-259.0,24756213.0,7.20703125,-259.0,24756208.0,7.11328125,-259.0,24756207.0,7.09375,-259.0,24756207.0,7.07421875,-259.0,24756207.0,7.12109375,-259.0,24756206.0,7.0234375,-259.0,24756204.0,7.0546875,-259.0,24756204.0,6.97265625,-259.0,24756206.0,7.0859375,-259.0,24756205.0,7.0546875,-259.0
24746756.0,8.1328125,-263.5,24756212.0,7.57421875,-259.25,24756214.0,6.8125,-258.5,24756216.0,7.15625,-259.0,24756223.0,7.15234375,-259.0,24756218.0,7.1875,-259.0,24756217.0,7.14453125,-258.75,24756217.0,7.09765625,-259.0,24756217.0,7.08984375,-259.0,24756216.0,7.08203125,-259.0,24756214.0,7.015625,-259.0,24756214.0,7.04296875,-259.0,24756216.0,7.03125,-259.0,24756215.0,7.01953125,-259.0
24746776.0,8.1796875,-263.5,24756222.0,7.62890625,-259.25,24756224.0,6.8046875,-258.75,24756226.0,7.1015625,-259.0,24756233.0,7.15234375,-258.75,24756228.0,7.171875,-259.0,24756227.0,7.14453125,-259.0,24756227.0,7.0390625,-259.0,24756227.0,7.12109375,-259.0,24756226.0,7.01171875,-258.75,24756224.0,7.0546875,-259.0,24756224.0,7.0234375,-259.0,24756226.0,7.0078125,-259.0,24756225.0,6.9921875,-258.75
24746796.0,8.15625,-263.5,24756232.0,7.6484375,-259.25,24756234.0,6.8046875,-258.75,24756236.0,7.140625,-259.0,24756243.0,7.19921875,-259.0,24756238.0,7.1484375,-259.0,24756237.0,7.14453125,-259.0,24756237.0,7.0234375,-259.0,24756237.0,7.16015625,-259.0,24756236.0,7.03515625,-259.0,24756234.0,7.0390625,-259.0,24756234.0,7.0234375,-259.0,24756236.0,7.0390625,-259.0,24756235.0,6.99609375,-259.0
24746816.0,8.109375,-263.5,24756242.0,7.6640625,-259.25,24756244.0,6.79296875,-258.75,24756246.0,7.12890625,-258.75,24756253.0,7.109375,-259.0,24756248.0,7.15625,-259.0,24756247.0,7.2265625,-259.0,24756247.0,7.140625,-259.0,24756247.0,7.109375,-259.0,24756246.0,7.0625,-259.0,24756244.0,7.12109375,-259.0,24756244.0,6.9921875,-259.0,24756246.0,7.00390625,-259.0,24756245.0,6.9609375,-259.0
24746836.0,8.1484375,-263.5,24756252.0,7.671875,-259.25,24756254.0,6.75390625,-258.75,24756256.0,7.19921875,-259.0,24756263.0,7.2109375,-259.0,24756258.0,7.1328125,-259.0,24756257.0,7.05078125,-259.0,24756257.0,7.0625,-259.0,24756257.0,7.0546875,-259.0,24756256.0,7.078125,-259.0,24756254.0,7.12890625,-259.0,24756254.0,7.03125,-259.0,24756256.0,7.046875,-258.75,24756255.0,6.96875,-259.0
24746856.0,8.21875,-263.5,24756262.0,7.625,-259.25,24756264.0,6.796875,-258.5,24756266.0,7.17578125,-259.0,24756273.0,7.19921875,-259.0,24756268.0,7.16015625,-259.0,24756267.0,7.0859375,-259.0,24756267.0,7.18359375,-259.0,24756267.0,7.09765625,-258.75,24756266.0,7.08203125,-258.75,24756264.0,7.09375,-259.0,24756264.0,7.03515625,-258.75,24756266.0,7.12109375,-258.75,24756265.0,7.0546875,-258.75
24746876.0,8.1953125,-263.5,24756272.0,7.6875,-259.25,24756274.0,6.796875,-258.5,24756276.0,7.17578125,-258.75,24756283.0,7.20703125,-259.0,24756278.0,7.1484375,-259.0,24756277.0,7.15625,-258.75,24756277.0,7.1796875,-259.0,24756277.0,7.15625,-259.0,24756276.0,7.0546875,-259.0,24756274.0,7.1015625,-259.0,24756274.0,7.1484375,-259.0,24756276.0,7.02734375,-258.75,24756275.0,7.0078125,-259.0
24746896.0,8.1953125,-263.5,24756282.0,7.63671875,-259.25,24756284.0,6.796875,-258.5,24756286.0,7.1640625,-259.0,24756293.0,7.16015625,-258.75,24756288.0,7.22265625,-258.75,24756287.0,7.10546875,-259.0,24756287.0,7.03125,-259.0,24756287.0,7.140625,-259.0,24756286.0,7.09765625,-259.0,24756284.0,7.078125,-258.75,24756284.0,6.98828125,-258.75,24756286.0,7.03515625,-258.75,24756285.0,7.0859375,-258.75
24746916.0,8.15625,-263.5,24756292.0,7.70703125,-259.25,24756294.0,6.80859375,-258.5,24756296.0,7.15625,-258.75,24756303.0,7.234375,-259.0,24756298.0,7.21484375,-258.75,24756297.0,7.140625,-258.75,24756297.0,7.16015625,-259.0,24756297.0,7.15625,-258.75,24756296.0,7.09375,-258.75,24756294.0,7.0859375,-259.0,24756294.0,7.10546875,-259.0,24756296.0,7.0234375,-258.75,24756295.0,7.05078125,-258.75
24746936.0,8.203125,-263.5,24756302.0,7.69140625,-259.25,24756304.0,6.78515625,-258.5,24756306.0,7.19140625,-258.75,24756313.0,7.12109375,-259.0,24756308.0,7.1796875,-259.0,24756307.0,7.12109375,-259.0,24756307.0,7.09375,-259.0,24756307.0,7.15625,-258.75,24756306.0,7.0625,-259.0,24756304.0,7.05078125,-258.75,24756304.0,7.0625,-258.75,24756306.0,7.03125,-258.75,24756305.0,6.92578125,-258.75
24746956.0,8.15625,-263.5,24756312.0,7.64453125,-259.25,24756314.0,6.72265625,-258.75,24756316.0,7.18359375,-259.0,24756323.0,7.1796875,-259.0,24756318.0,7.171875,-258.75,24756317.0,7.1328125,-259.0,24756317.0,7.10546875,-258.75,24756317.0,7.140625,-258.75,24756316.0,7.046875,-258.75,24756314.0,7.1328125,-258.75,24756314.0,7.0703125,-258.75,24756316.0,7.10546875,-258.75,24756315.0,7.0546875,-258.75
24746976.0,8.1953125,-263.5,24756322.0,7.6875,-259.25,24756324.0,6.84375,-258.5,24756326.0,7.08984375,-258.75,24756333.0,7.19921875,-259.25,24756328.0,7.140625,-259.0,24756327.0,7.15234375,-258.75,24756327.0,7.16796875,-258.75,24756327.0,7.14453125,-258.75,24756326.0,7.1171875,-259.0,24756324.0,7.08984375,-258.75,24756324.0,7.06640625,-259.0,24756326.0,7.0625,-258.75,24756325.0,7.0625,-258.75
24746996.0,8.1328125,-263.5,24756332.0,7.69921875,-259.25,24756334.0,6.76953125,-258.5,24756336.0,7.17578125,-258.75,24756343.0,7.25,-258.75,24756338.0,7.109375,-258.75,24756337.0,7.13671875,-258.75,24756337.0,7.15625,-258.75,24756337.0,7.1328125,-258.75,24756336.0,7.078125,-259.0,24756334.0,7.13671875,-259.0,24756334.0,7.078125,-258.75,24756336.0,7.0703125,-258.75,24756335.0,7.0625,-258.75
24747016.0,8.1953125,-263.5,24756342.0,7.70703125,-259.25,24756344.0,6.765625,-258.75,24756346.0,7.1328125,-258.75,24756353.0,7.17578125,-258.75,24756348.0,7.1796875,-258.75,24756347.0,7.125,-258.75,24756347.0,7.1796875,-258.75,24756347.0,7.1953125,-258.75,24756346.0,7.12890625,-258.75,24756344.0,7.125,-258.75,24756344.0,7.1171875,-259.0,24756346.0,7.0234375,-258.75,24756345.0,7.046875,-258.75
24747036.0,8.1796875,-263.5,24756352.0,7.62890625,-259.0,24756354.0,6.78125,-258.5,24756356.0,7.14453125,-258.75,24756363.0,7.22265625,-258.75,24756358.0,7.19921875,-258.75,24756357.0,7.18359375,-259.0,24756357.0,7.17578125,-258.75,24756357.0,7.0859375,-258.75,24756356.0,7.0625,-258.75,24756354.0,7.11328125,-258.75,24756354.0,7.0625,-258.75,24756356.0,7.046875,-258.75,24756355.0,7.1328125,-258.75
24747056.0,8.1875,-263.5,24756362.0,7.59765625,-259.0,24756364.0,6.8046875,-258.5,24756366.0,7.1484375,-258.75,24756373.0,7.17578125,-258.75,24756368.0,7.140625,-258.75,24756367.0,7.14453125,-259.0,24756367.0,7.1484375,-258.75,24756367.0,7.06640625,-258.75,24756366.0,7.1171875,-258.75,24756364.0,7.05859375,-258.75,24756364.0,7.08203125,-258.75,24756366.0,7.07421875,-258.75,24756365.0,7.03515625,-258.75
24747076.0,8.09375,-263.5,24756372.0,7.7109375,-259.25,24756374.0,6.8515625,-258.5,24756376.0,7.17578125,-258.75,24756383.0,7.24609375,-259.0,24756378.0,7.234375,-258.75,24756377.0,7.1796875,-259.0,24756377.0,7.17578125,-258.75,24756377.0,7.12890625,-258.75,24756376.0,7.09375,-258.75,24756374.0,7.08984375,-258.75,24756374.0,7.08984375,-258.75,24756376.0,7.1015625,-258.75,24756375.0,7.0859375,-258.75
24747096.0,8.2265625,-263.5,24756382.0,7.6640625,-259.25,24756384.0,6.83203125,-258.5,24756386.0,7.078125,-258.75,24756393.0,7.23828125,-258.75,24756388.0,7.11328125,-258.75,24756387.0,7.13671875,-258.75,24756387.0,7.17578125,-259.0,24756387.0,7.109375,-258.75,24756386.0,7.08203125,-258.75,24756384.0,7.08984375,-258.75,24756384.0,7.06640625,-259.0,24756386.0,7.046875,-258.75,24756385.0,7.0703125,-258.75
24747116.0,8.1171875,-263.5,24756392.0,7.66015625,-259.0,24756394.0,6.84375,-258.5,24756396.0,7.171875,-258.75,24756403.0,7.2109375,-258.75,24756398.0,7.1796875,-258.75,24756397.0,7.140625,-258.75,24756397.0,7.1796875,-258.75,24756397.0,7.12890625,-258.75,24756396.0,7.07421875,-258.75,24756394.0,7.07421875,-258.75,24756394.0,7.10546875,-258.75,24756396.0,7.02734375,-258.75,24756395.0,7.015625,-258.75
24747136.0,8.2109375,-263.5,24756402.0,7.72265625,-259.0,24756404.0,6.828125,-258.5,24756406.0,7.15625,-258.75,24756413.0,7.24609375,-258.75,24756408.0,7.12109375,-258.75,24756407.0,7.15234375,-258.75,24756407.0,7.19921875,-258.75,24756407.0,7.140625,-258.75,24756406.0,7.12109375,-258.75,24756404.0,7.12109375,-258.75,24756404.0,7.05078125,-258.75,24756406.0,7.17578125,-258.75,24756405.0,7.12890625,-258.75
24747156.0,8.21875,-263.5,24756412.0,7.7109375,-259.0,24756414.0,6.87109375,-258.5,24756416.0,7.12109375,-258.75,24756423.0,7.125,-258.75,24756418.0,7.203125,-258.75,24756417.0,7.125,-258.75,24756417.0,7.1328125,-258.75,24756417.0,7.1171875,-258.75,24756416.0,7.08984375,-258.75,24756414.0,7.0390625,-258.75,24756414.0,7.08203125,-259.0,24756416.0,7.03125,-258.75,24756415.0,7.01171875,-258.75
24747176.0,8.2109375,-263.5,24756422.0,7.66796875,-259.0,24756424.0,6.75,-258.5,24756426.0,7.17578125,-258.75,24756433.0,7.2421875,-258.75,24756428.0,7.1953125,-258.75,24756427.0,7.14453125,-258.75,24756427.0,7.2109375,-258.75,24756427.0,7.1328125,-258.75,24756426.0,7.08984375,-258.75,24756424.0,7.0390625,-258.75,24756424.0,7.0859375,-258.75,24756426.0,7.04296875,-258.75,24756425.0,7.03515625,-258.75
24747196.0,8.234375,-263.5,24756432.0,7.6484375,-259.0,24756434.0,6.89453125,-258.5,24756436.0,7.15625,-258.75,24756443.0,7.27734375,-258.75,24756438.0,7.15625,-258.75,24756437.0,7.171875,-258.75,24756437.0,7.20703125,-258.75,24756437.0,7.10546875,-258.75,24756436.0,7.05859375,-258.75,24756434.0,7.140625,-258.75,24756434.0,7.1796875,-258.75,24756436.0,7.046875,-258.75,24756435.0,7.10546875,-258.75
24747216.0,8.1875,-263.5,24756442.0,7.69921875,-259.0,24756444.0,6.86328125,-258.5,24756446.0,7.1796875,-258.75,24756453.0,7.19140625,-258.75,24756448.0,7.171875,-258.75,24756447.0,7.19140625,-258.75,24756447.0,7.140625,-258.75,24756447.0,7.109375,-258.75,24756446.0,7.07421875,-258.75,24756444.0,7.1875,-258.75,24756444.0,7.1171875,-258.75,24756446.0,7.125,-258.75,24756445.0,7.03515625,-258.75
24747236.0,8.203125,-263.5,24756452.0,7.6640625,-259.0,24756454.0,6.7890625,-258.5,24756456.0,7.16796875,-258.75,24756463.0,7.21484375,-258.75,24756458.0,7.1484375,-258.75,24756457.0,7.140625,-258.75,24756457.0,7.23046875,-258.75,24756457.0,7.109375,-258.75,24756456.0,7.07421875,-258.75,24756454.0,7.07421875,-258.75,24756454.0,7.08203125,-258.75,24756456.0,7.08984375,-258.75,24756455.0,7.06640625,-258.75
